symbol,name,sector,industry,current_price,high_52w,low_52w,price_to_52w_high,market_cap,pe_ratio,forward_pe,pb_ratio,peg_ratio,roe,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,rsi,beta,max_drawdown,avg_volume,dividend_yield,valuation_score,valuation_reasons,growth_score,growth_reasons,risk_score,risk_reasons,composite_score
DLF,DLF Limited,Real Estate,Real Estate - Development,595.5,880.3606844632357,489.3999938964844,67.64272990712688,147404.8032768,33.30537,28.445066,3.426017,0.14,,46.577,32.2,13.600000000000001,13.700000000000001,4.133,,,45.20494245989242,0.8671573165012751,42.31985024010185,3365688.506024096,99.0,10.0,"['Attractive PEG ratio: 0.14', 'Corrected 32.4% from 52W high']",24.44,"['Revenue growth: 32.2%', 'Balanced RSI: 45.2', 'Strong liquidity', 'Profit margin: 46.6%']",26,['High max drawdown: 42.3%'],60.44
DLF,DLF Limited,Real Estate,Real Estate - Development,594.3499755859375,880.3606844632357,489.3999938964844,67.51209885619987,147120.1411072,33.24105,28.390133,3.4194007,0.14,,46.577,32.2,13.600000000000001,13.700000000000001,4.133,,,44.794952377697534,0.8676326336426297,42.31985024010185,3366113.004016064,99.0,10.0,"['Attractive PEG ratio: 0.14', 'Corrected 32.5% from 52W high']",24.44,"['Revenue growth: 32.2%', 'Balanced RSI: 44.8', 'Strong liquidity', 'Profit margin: 46.6%']",26,['High max drawdown: 42.3%'],60.44
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1287.800048828125,1375.9000244140625,1136.690935820992,93.59692026871971,107221.5621632,18.95775,23.387257,2.879374,3.78,16.1,16.363001,4.3999999999999995,-14.299999999999999,-14.399999999999999,18.026,1.88,1.18,60.65314965764969,0.7187713248806885,14.541780609823396,1781423.060240964,62.0,10.431573022222222,"['P/E 62.6% below sector (19.0 vs 50.7)', 'Strong P/B-ROE combo (P/B: 2.88, ROE: 16.1%)']",21.366666666666667,"['Strong liquidity', 'Profit margin: 16.4%']",28,[],59.79823968888889
NMDC,NMDC Limited,Basic Materials,Steel,87.33999633789062,92.7699966430664,63.333055921097966,94.14681416226868,76787.7251072,11.126114,9.519595,2.3658476,,,24.884,15.9,-6.5,-6.7,11.21,,,45.596240368113776,0.8385405553841113,11.374195220745117,22781448.630522087,394.0,10.0,['P/E 70.8% below sector (11.1 vs 38.1)'],18.0,"['Balanced RSI: 45.6', 'Strong liquidity', 'Profit margin: 24.9%']",30,[],58.0
HAVELLS,Havells India Limited,Industrials,Electrical Equipment & Parts,1238.699951171875,1616.156807070518,1142.5,76.64478754491468,77698.301952,45.894775,36.419304,8.222533,0.2,18.969999,7.504000500000001,2.5,39.6,39.6,2.801,1.707,0.688,34.545437794811335,0.7158261453494658,26.66516531374284,909737.5582329318,96.0,10.0,"['Attractive PEG ratio: 0.20', 'Corrected 23.4% from 52W high']",19.243333,"['Earnings growth: 39.6%', 'Strong liquidity']",28,[],57.243333
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,383.5,453.20001220703125,345.5,84.62047433149873,381446.9402624,19.788443,12.021944,2.1057198,0.94,11.389000000000001,26.049,-11.0,9.8,9.9,,,,51.38462251140732,0.6592633226015442,20.646064942268893,17468013.248995982,13.0,11.200000000000001,"['P/E 52.3% below sector (19.8 vs 41.5)', 'Attractive PEG ratio: 0.94', 'Corrected 15.4% from 52W high']",18.0,"['Balanced RSI: 51.4', 'Strong liquidity', 'Profit margin: 26.0%']",28,[],57.2
FEDERALBNK,The Federal Bank Limited,Financial Services,Banks - Regional,292.8999938964844,302.0,183.99616636888095,96.98675294585576,72172.7258624,16.756292,12.327534,1.9830066,,11.731,29.906,12.3,22.2,22.900000000000002,,,,45.454536605024735,0.7682518536778796,15.174253484688057,8754881.449799197,40.0,10.0,['P/E 59.6% below sector (16.8 vs 41.5)'],18.0,"['Balanced RSI: 45.5', 'Strong liquidity', 'Profit margin: 29.9%']",28,[],56.0
FEDERALBNK,The Federal Bank Limited,Financial Services,Banks - Regional,292.8999938964844,302.0,183.99616636888095,96.98675294585576,72172.7258624,16.756292,12.327534,1.9830066,,11.731,29.906,12.3,22.2,22.900000000000002,,,,45.454536605024735,0.7682518536778796,15.174253484688057,8757108.100401606,40.0,10.0,['P/E 53.6% below sector (16.8 vs 36.1)'],18.0,"['Balanced RSI: 45.5', 'Strong liquidity', 'Profit margin: 29.9%']",28,[],56.0
WIPRO,Wipro Limited,Technology,Information Technology Services,197.6699981689453,266.2266963670133,186.5,74.24875148375148,207206.3770624,15.725537,13.752899,2.3089054,1.34,15.487,14.248,7.7,-1.6,-1.9,22.853,2.049,1.938,31.668358698568326,0.7172734116837086,29.44519052337767,12061154.634538153,859.0,10.323861836591794,"['P/E 39.7% below sector (15.7 vs 26.1)', 'Strong P/B-ROE combo (P/B: 2.31, ROE: 15.5%)', 'Corrected 25.8% from 52W high']",17.28633333333333,"['Strong liquidity', 'Profit margin: 14.2%']",28,[],55.61019516992513
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1309.800048828125,1673.0,1165.699951171875,78.29049903336073,105803.3762304,23.264654,23.75235,3.2139888,,,16.256,,-56.99999999999999,-56.99999999999999,1.415,,,65.56585453626565,0.6078502634967875,28.324113854709225,1563618.5461847389,97.0,10.0,"['P/E 59.4% below sector (23.3 vs 57.4)', 'Corrected 21.7% from 52W high']",16.0,"['Strong liquidity', 'Profit margin: 16.3%']",28,[],54.0
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1309.800048828125,1673.0,1165.699951171875,78.29049903336073,105803.3762304,23.264654,23.75235,3.2139888,,,16.256,,-56.99999999999999,-56.99999999999999,1.415,,,65.56585453626565,0.6078502634967875,28.324113854709225,1563787.8554216868,97.0,10.0,"['P/E 54.1% below sector (23.3 vs 50.7)', 'Corrected 21.7% from 52W high']",16.0,"['Strong liquidity', 'Profit margin: 16.3%']",28,[],54.0
GUJGASLTD,Gujarat Gas Limited,Utilities,Utilities - Regulated Gas,383.79998779296875,502.0070559214134,301.5,76.45310623941721,26420.412416,22.723505,21.97665,3.0260024,,,7.541,21.099999999999998,32.6,32.6,118.64,,,55.20434955858473,0.8628074778145186,37.65590794198018,696806.1411290322,147.0,10.0,"['P/E 50.3% below sector (22.7 vs 45.7)', 'Corrected 23.5% from 52W high']",20.740000000000002,"['Revenue growth: 21.1%', 'Earnings growth: 32.6%', 'Balanced RSI: 55.2', 'Strong liquidity']",23,['High debt-to-equity: 1.19'],53.74
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,10562.0,14690.336294557555,8588.0,71.89760525708991,117548.2138624,12.204197,,1.7326422,,12.623999999999999,857.461,-48.3,49.3,49.2,0.012,3.446,3.446,63.11936936936937,0.9667318704272114,39.48040437470276,69637.0281124498,150.0,10.0,"['P/E 70.6% below sector (12.2 vs 41.5)', 'Corrected 28.1% from 52W high']",19.0,"['Earnings growth: 49.3%', 'Profit margin: 857.5%']",23,['Low trading volume'],52.0
IOC,Indian Oil Corporation Limited,Energy,Oil & Gas Refining & Marketing,141.11000061035156,186.60727196585654,127.92889076038279,75.61870398929062,199264.8032256,5.4356704,10.194859,0.9854119,,,4.636,5.7,513.0,514.9,72.631,,,37.10482803708065,0.7591896598342424,27.593696265105706,13625205.437751004,691.0,10.0,"['P/E 57.8% below sector (5.4 vs 12.9)', 'Corrected 24.4% from 52W high']",16.0,"['Earnings growth: 513.0%', 'Strong liquidity']",26,[],52.0
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,10569.0,14690.336294557555,8588.0,71.94525562982231,117626.109952,12.212285,,1.7337905,,12.623999999999999,857.461,-48.3,49.3,49.2,0.012,3.446,3.446,63.62088535754825,0.9666910412969193,39.48040437470276,69637.51004016065,150.0,10.0,"['P/E 66.2% below sector (12.2 vs 36.1)', 'Corrected 28.1% from 52W high']",19.0,"['Earnings growth: 49.3%', 'Profit margin: 857.5%']",23,['Low trading volume'],52.0
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,378.79998779296875,508.45001220703125,316.20001220703125,74.50093002234574,80644.472832,5.2369766,6.376696,1.4173735,,,3.5450000000000004,4.1000000000000005,57.699999999999996,57.699999999999996,110.909,,,46.12188172458875,1.0417012694075611,36.04849179379522,5528322.502008032,401.0,10.0,"['P/E 59.3% below sector (5.2 vs 12.9)', 'Corrected 25.5% from 52W high']",18.0,"['Earnings growth: 57.7%', 'Balanced RSI: 46.1', 'Strong liquidity']",23,['High debt-to-equity: 1.11'],51.0
PFC,Power Finance Corporation Limited,Financial Services,Credit Services,450.3999938964844,486.5,324.10628292941374,92.57964931068538,148636.5786112,5.895288,7.675354,1.1704963,,,50.505,11.5,8.0,8.0,603.342,,,37.634403113448805,0.8526941407634572,20.75597731436225,6886209.144578313,316.0,10.0,['P/E 85.8% below sector (5.9 vs 41.5)'],16.0,"['Strong liquidity', 'Profit margin: 50.5%']",25,['High debt-to-equity: 6.03'],51.0
LICHSGFIN,LIC Housing Finance Limited,Financial Services,Mortgage Finance,590.8499755859375,635.3119818933732,458.8999938964844,93.00154765302413,32500.4689408,5.9244957,5.731204,0.8437785,,,65.141,-2.0,-2.6,-2.6,679.251,,,62.96667886138302,0.7578638260664227,26.54710599971473,1632505.1686746988,172.0,10.0,['P/E 85.7% below sector (5.9 vs 41.5)'],16.0,"['Strong liquidity', 'Profit margin: 65.1%']",23,['High debt-to-equity: 6.79'],49.0
