symbol,name,sector,industry,current_price,high_52w,low_52w,price_to_52w_high,market_cap,pe_ratio,forward_pe,pb_ratio,peg_ratio,roe,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,rsi,beta,max_drawdown,avg_volume,dividend_yield,total_revenue,order_book_value,order_book_to_revenue_ratio,order_book_visibility_months,has_order_book_data,order_book_relevant,valuation_score,valuation_reasons,growth_score,growth_reasons,risk_score,risk_reasons,composite_score,is_estimated
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2255.89990234375,2494.0,1836.800048828125,90.45308349413592,103143.3224192,19.387245,22.137636,5.2478895,,26.906999999999996,19.073999,31.900000000000002,89.0,89.0,29.388,1.899,1.252,44.62904876679763,0.6551853994044011,10.110596949532653,1003506.3775100402,50.0,279580311552,,,,False,False,10.0,['P/E 72.4% below sector (19.4 vs 70.2)'],39.38,"['Revenue growth: 31.9%', 'Earnings growth: 89.0%', 'Balanced RSI: 44.6', 'Strong liquidity', 'Profit margin: 19.1%']",28,[],77.38,
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,5228.5,6266.359422363396,3778.1171659370852,83.43760144591322,104618.5967616,18.226662,16.40064,4.8400254,,28.027,12.109999,30.2,25.7,25.7,3.57,1.909,1.546,48.28555368184373,0.8594054183995136,20.349469412019904,700581.9317269076,348.0,474112393216,,,,False,False,10.0,"['P/E 81.6% below sector (18.2 vs 99.2)', 'Corrected 16.6% from 52W high']",34.2349995,"['Revenue growth: 30.2%', 'Earnings growth: 25.7%', 'Balanced RSI: 48.3', 'Strong liquidity', 'Profit margin: 12.1%']",30,[],74.2349995,
CGCL,Capri Global Capital Limited,Financial Services,Credit Services,191.10000610351562,214.0,150.349874062589,89.29906827267085,18386.763776,18.8834,10.519264,2.5576167,,16.496,33.626,72.0,37.1,59.099999999999994,334.728,90.171,88.969,60.42565103668891,1.1662697776162727,27.314903438970983,3314288.048192771,10.0,28226539520,,,,False,False,11.441379615086426,"['P/E 49.1% below sector (18.9 vs 37.1)', 'Strong P/B-ROE combo (P/B: 2.56, ROE: 16.5%)']",35.91866666666667,"['Revenue growth: 72.0%', 'Earnings growth: 37.1%', 'Strong liquidity', 'Profit margin: 33.6%']",25,['High debt-to-equity: 3.35'],72.36004628175309,
SUZLON,Suzlon Energy Limited,Industrials,Specialty Industrial Machinery,53.29999923706055,74.30000305175781,38.189998626708984,71.73620060275296,73103.540224,22.584747,26.965631,9.329599,0.35,,21.564,42.4,14.299999999999999,15.1,5.051,,,50.79491523522086,1.0439775403106915,44.65584846750893,73671427.93574297,0.0,149845901312,,,,False,True,20.0,"['P/E 66.4% below sector (22.6 vs 67.3)', 'Attractive PEG ratio: 0.35', 'Corrected 28.3% from 52W high']",25.0,"['Revenue growth: 42.4%', 'Balanced RSI: 50.8', 'Strong liquidity', 'Profit margin: 21.6%']",26,['High max drawdown: 44.7%'],71.0,
BLS,BLS International Services Limited,Industrials,Specialty Business Services,284.8999938964844,417.84841812628895,218.89999389648438,68.1826187529989,11729.0786816,18.239437,14.685567,5.502018,,,22.389999,43.6,34.8,34.8,16.545,,,42.08288693488426,1.443703132879935,46.11975787976688,3517705.682730924,104.0,28764198912,,,,False,True,10.0,"['P/E 64.6% below sector (18.2 vs 51.6)', 'Corrected 31.8% from 52W high']",31.96,"['Revenue growth: 43.6%', 'Earnings growth: 34.8%', 'Balanced RSI: 42.1', 'Strong liquidity', 'Profit margin: 22.4%']",26,['High max drawdown: 46.1%'],67.96000000000001,
CUB,City Union Bank Limited,Financial Services,Banks - Regional,254.1999969482422,324.1000061035156,177.874159960883,78.43258011758635,18889.35936,14.25687,10.300189,1.8977797,,13.241,37.617,23.599999999999998,25.1,24.9,,,,41.32017998504486,1.1550333352241287,23.280861640430807,2642174.7188755022,77.0,35256610816,,,,False,False,10.0,"['P/E 61.6% below sector (14.3 vs 37.1)', 'Corrected 21.6% from 52W high']",27.740000000000002,"['Revenue growth: 23.6%', 'Earnings growth: 25.1%', 'Balanced RSI: 41.3', 'Strong liquidity', 'Profit margin: 37.6%']",30,[],67.74000000000001,
HAVELLS,Havells India Limited,Industrials,Electrical Equipment & Parts,1230.0,1616.156807070518,1142.5,76.10647646434293,77152.5902336,45.572433,36.163517,8.164783,0.2,18.969999,7.504000500000001,2.5,39.6,39.6,2.801,1.707,0.688,33.54429298831589,0.7173669404215292,26.66516531374284,910544.0200803212,96.0,225277706240,22527.770624,1.0,12.0,True,True,16.44862557573901,"['P/E 32.2% below sector (45.6 vs 67.3)', 'Attractive PEG ratio: 0.20', 'Corrected 23.9% from 52W high']",23.243333,"['Earnings growth: 39.6%', 'Strong liquidity', 'Good order book: 1.0x revenue (12 months)']",28,[],67.69195857573901,True
KARURVYSYA,The Karur Vysya Bank Limited,Financial Services,Banks - Regional,296.79998779296875,343.45001220703125,173.47653365499448,86.41723023554825,28689.2490752,11.432974,10.553655,2.241167,,,38.388002,17.5,39.1,39.1,,,,54.621197899278954,1.0626924554669208,22.472914007835364,3154325.5903614457,0.0,59881537536,,,,False,False,10.0,['P/E 69.2% below sector (11.4 vs 37.1)'],25.82,"['Earnings growth: 39.1%', 'Balanced RSI: 54.6', 'Strong liquidity', 'Profit margin: 38.4%']",30,[],65.82,
LTF,L&T Finance Limited,Financial Services,Credit Services,295.0,329.45001220703125,164.13865394123295,89.54317470615774,73910.7864576,24.810764,15.581755,2.7974017,,11.1169994,33.077,31.900000000000002,26.400000000000002,26.8,393.442,2.247,2.174,53.16198163839962,1.009795592136807,25.007803277376517,7131470.236947791,91.0,90128498688,,,,False,False,10.0,['P/E 53.0% below sector (24.8 vs 52.8)'],29.66,"['Revenue growth: 31.9%', 'Earnings growth: 26.4%', 'Balanced RSI: 53.2', 'Strong liquidity', 'Profit margin: 33.1%']",25,['High debt-to-equity: 3.93'],64.66,
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,Credit Services,337.04998779296875,412.20001220703125,237.44650936934244,81.76855356900919,46834.6208256,16.165466,12.00106,1.7556882,,11.856,29.518,40.300000000000004,82.6,105.2,428.025,9.568,9.568,65.10823964558804,1.1096954038245481,31.379820922788486,3018889.7389558232,221.0,96703201280,,,,False,False,10.0,"['P/E 69.4% below sector (16.2 vs 52.8)', 'Corrected 18.2% from 52W high']",31.0,"['Revenue growth: 40.3%', 'Earnings growth: 82.6%', 'Strong liquidity', 'Profit margin: 29.5%']",23,['High debt-to-equity: 4.28'],64.0,
