symbol,name,sector,industry,current_price,high_52w,low_52w,price_to_52w_high,market_cap,pe_ratio,forward_pe,pb_ratio,peg_ratio,roe,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,rsi,beta,max_drawdown,avg_volume,dividend_yield,total_revenue,order_book_value,order_book_to_revenue_ratio,order_book_visibility_months,has_order_book_data,order_book_relevant,valuation_score,valuation_reasons,growth_score,growth_reasons,risk_score,risk_reasons,composite_score,is_estimated
MPHASIS,Mphasis Limited,Technology,Information Technology Services,2083.199951171875,3037.199951171875,2013.0,68.58948981505455,39751.008256,22.07481,16.341822,3.9047065,2.4,18.285999,11.729000000000001,14.399999999999999,14.000000000000002,14.099999999999998,24.383,1.376,1.209,20.124952532649118,0.8597056191282086,31.76698134438936,546853.124,298.0,158796464128,,,,False,False,10.0,"['P/E 50.1% below sector (22.1 vs 44.3)', 'Corrected 31.4% from 52W high']",16.959833,"['Strong liquidity', 'Profit margin: 11.7%']",28,[],54.959833,
APTUS,Aptus Value Housing Finance India Limited,Financial Services,Mortgage Finance,264.45001220703125,358.18094852268683,191.24135126964168,73.83140094350419,13242.1419008,14.044079,10.203984,2.8335853,,,60.890995999999994,26.0,23.9,24.0,157.024,,,54.891223410562255,1.0255696372619825,45.492818342243005,2164219.624,168.0,14600003584,,,,False,False,10.0,"['P/E 60.3% below sector (14.0 vs 35.4)', 'Corrected 26.2% from 52W high']",23.2,"['Revenue growth: 26.0%', 'Balanced RSI: 54.9', 'Strong liquidity', 'Profit margin: 60.9%']",21,"['High debt-to-equity: 1.57', 'High max drawdown: 45.5%']",54.2,
IRCTC,Indian Railway Catering & Tourism Corporation Limited,Consumer Cyclical,Travel Services,535.9500122070312,808.7690463867202,492.6499938964844,66.26737442554916,42876.0006656,30.126474,24.8125,10.0517645,,,28.371000000000002,18.4,15.7,15.6,1.836,,,45.319708904269966,0.6654882158944473,38.011283907959815,1317398.008,177.0,50236735488,,,,False,False,10.0,"['P/E 69.8% below sector (30.1 vs 99.9)', 'Corrected 33.7% from 52W high']",18.0,"['Balanced RSI: 45.3', 'Strong liquidity', 'Profit margin: 28.4%']",26,[],54.0,
SIGNATURE,Signatureglobal (India) Limited,Real Estate,Real Estate - Development,851.2999877929688,1309.5,705.2000122070312,65.00954469591208,11961.6749568,10.940753,11.165957,16.455328,,,0.16500001,129.7,1789.6999999999998,1786.3,161.04,,,53.28960421368773,1.076312042746044,45.1206394030468,398193.14112903224,0.0,20090320896,,,,False,False,10.0,"['P/E 98.7% below sector (10.9 vs 833.3)', 'Corrected 35.0% from 52W high']",23.0,"['Revenue growth: 129.7%', 'Earnings growth: 1789.7%', 'Balanced RSI: 53.3']",21,"['High debt-to-equity: 1.61', 'High max drawdown: 45.1%']",54.0,
FIVESTAR,Five-Star Business Finance Limited,Financial Services,Credit Services,458.79998779296875,825.1401329076257,338.1499938964844,55.60267516939833,13542.6408448,12.316778,9.3607235,1.8314564,,16.058001,48.518001999999996,4.1000000000000005,-3.6999999999999997,-3.5000000000000004,111.115,329.678,327.731,31.972780424799637,1.2660304584275188,56.48870879927571,1554684.1365461848,44.0,22646188032,,,,False,False,14.169883177187465,"['P/E 65.2% below sector (12.3 vs 35.4)', 'Strong P/B-ROE combo (P/B: 1.83, ROE: 16.1%)']",18.352667,"['Strong liquidity', 'Profit margin: 48.5%']",21,"['High debt-to-equity: 1.11', 'High max drawdown: 56.5%']",53.52255017718747,
CONCOR,Container Corporation of India Limited,Industrials,Railroads,518.7999877929688,641.2302720533197,421.45001220703125,80.90697061629514,39512.735744,30.954653,24.130232,3.0898607,,,14.035,4.5,-8.9,-8.9,7.016,,,53.31888628875359,0.7649570371539858,33.59772254817906,1739397.86,262.0,91035000832,,,,False,True,10.0,"['P/E 52.5% below sector (31.0 vs 65.2)', 'Corrected 19.1% from 52W high']",17.0175,"['Balanced RSI: 53.3', 'Strong liquidity', 'Profit margin: 14.0%']",26,[],53.0175,
PGEL,PG Electroplast Limited,Technology,Electronic Components,487.1000061035156,836.0814773823537,436.54998779296875,58.259872904797874,13905.7119232,49.754852,34.600628,5.146764,,,5.0520000000000005,45.9,47.599999999999994,56.699999999999996,20.346,,,13.456112489060217,1.5727598850264142,46.7579438752652,3514063.352,5.0,54813835264,,,,False,False,10.0,['P/E 55.6% below sector (49.8 vs 112.0)'],20.0,"['Revenue growth: 45.9%', 'Earnings growth: 47.6%', 'Strong liquidity']",23,"['High beta: 1.57', 'High max drawdown: 46.8%']",53.0,
FSL,Firstsource Solutions Limited,Technology,Information Technology Services,237.60000610351562,395.17512550052356,202.0,60.12524341013991,16402.907136,24.879581,15.059765,3.75771,,15.9,7.0569999999999995,19.5,27.900000000000002,27.700000000000003,66.635,0.794,0.689,59.890345248873324,1.3371736997682784,47.09287146425164,2127371.032,231.0,95563939840,,,,False,False,10.0,"['P/E 77.8% below sector (24.9 vs 112.0)', 'Corrected 39.9% from 52W high']",20.88,"['Earnings growth: 27.9%', 'Balanced RSI: 59.9', 'Strong liquidity']",21,"['Low current ratio: 0.79', 'High max drawdown: 47.1%']",51.879999999999995,
HUDCO,Housing and Urban Development Corporation Limited,Financial Services,Credit Services,206.52999877929688,246.85122789652021,159.0,83.66577737497585,41345.2402688,10.244544,8.2612,2.2897403,,,61.524,16.1,-3.0,-3.0,705.764,,,42.29285921134852,1.0552393200917223,33.76933259694696,4867172.492,250.99999999999997,45198299136,,,,False,False,10.0,"['P/E 83.8% below sector (10.2 vs 63.3)', 'Corrected 16.3% from 52W high']",18.0,"['Balanced RSI: 42.3', 'Strong liquidity', 'Profit margin: 61.5%']",23,['High debt-to-equity: 7.06'],51.0,
LICHSGFIN,LIC Housing Finance Limited,Financial Services,Mortgage Finance,547.0499877929688,635.3119818933732,458.8999938964844,86.10729899389528,30091.1951872,5.3706064,4.8787084,0.7812288,,14.408999999999999,65.779,4.3999999999999995,8.6,8.7,642.522,27.056,27.002,51.39428634953656,0.7789287954782639,26.54710599971463,1660744.152,183.0,85189099520,,,,False,False,10.0,['P/E 91.5% below sector (5.4 vs 63.3)'],18.0,"['Balanced RSI: 51.4', 'Strong liquidity', 'Profit margin: 65.8%']",23,['High debt-to-equity: 6.43'],51.0,
ASHOKLEY,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,153.1300048828125,215.4199981689453,114.14391816369199,71.08439614910718,89946.3380992,27.150711,20.603563,7.129621,,,6.152,23.599999999999998,6.6000000000000005,6.800000000000001,327.886,,,29.52645174004016,1.0492450882095017,29.95469812949509,17240282.988,204.0,538111901696,80716.78525439999,1.5,18.0,True,True,10.0,"['P/E 58.4% below sector (27.2 vs 65.2)', 'Corrected 28.9% from 52W high']",15.719999999999999,"['Revenue growth: 23.6%', 'Strong liquidity', 'Strong order book: 1.5x revenue (18 months)']",25,['High debt-to-equity: 3.28'],50.72,True
FORCEMOT,Force Motors Limited,Consumer Cyclical,Auto Manufacturers,20356.0,26450.0,10136.122267962071,76.96030245746692,26821.599232,19.607767,,6.394696,,33.507999999999996,13.378,8.200000000000001,-37.0,-35.9,,1.874,0.5,52.434632847972445,1.6918030559482335,29.959423655174977,118327.104,20.0,90570498048,,,,False,False,10.0,"['P/E 70.9% below sector (19.6 vs 67.3)', 'Corrected 23.0% from 52W high']",18.689,"['Balanced RSI: 52.4', 'Profit margin: 13.4%']",22,"['Low trading volume', 'High beta: 1.69']",50.689,
REDINGTON,Redington Limited,Technology,Information Technology Services,221.2899932861328,327.511218461602,191.30999755859375,67.56714909662773,17299.8852608,11.616273,8.165682,1.7046173,,13.089,1.2489999999999999,25.3,,-41.199999999999996,27.26,1.413,0.993,52.422613359597335,1.5539050338856013,38.00428352041605,5387601.952,271.0,1193474260992,,,,False,False,10.0,"['P/E 89.6% below sector (11.6 vs 112.0)', 'Corrected 32.4% from 52W high']",15.06,"['Revenue growth: 25.3%', 'Balanced RSI: 52.4', 'Strong liquidity']",25,['High beta: 1.55'],50.06,
