symbol,name,sector,risk_score,volatility_risk_score,concentration_risk_score,liquidity_risk_score,beta_score,beta,volatility_score,annual_volatility_pct,drawdown_score,max_drawdown_pct,volatility_risk_total,institutional_score,institutional_holding_pct,promoter_score,promoter_holding_pct,float_score,float_pct,concentration_risk_total,volume_score,avg_volume,mcap_score,market_cap_cr,liquidity_risk_total,risk_flags
BHEL,Bharat Heavy Electricals Limited,Industrials,19.0,9.0,5.0,5.0,4,0.86,2.5,34.7,2.5,21.8,9.0,2.0,23.7,2.0,59.7,1.0,40.7,5.0,3.0,11808266,2.0,138691.0,5.0,NONE
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,19.0,9.0,5.0,5.0,4,0.98,2.5,33.7,2.5,22.1,9.0,2.0,25.5,2.0,58.5,1.0,42.1,5.0,3.0,18623799,2.0,136822.0,5.0,NONE
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,18.5,8.5,5.0,5.0,4,0.98,2.5,33.7,2.0,36.0,8.5,2.0,23.5,2.0,55.0,1.0,45.0,5.0,3.0,5659727,2.0,77963.0,5.0,NONE
GAIL,GAIL (India) Limited,Utilities,18.5,8.5,5.0,5.0,3,0.6,3.0,24.2,2.5,29.8,8.5,2.0,29.1,2.0,63.7,1.0,41.0,5.0,3.0,11019627,2.0,106602.0,5.0,NONE
BPCL,Bharat Petroleum Corporation Limited,Energy,18.5,8.5,5.0,5.0,4,0.96,2.5,28.8,2.0,30.1,8.5,2.0,27.7,2.0,56.4,1.0,43.4,5.0,3.0,8353745,2.0,121534.0,5.0,NONE
HINDALCO,Hindalco Industries Limited,Basic Materials,18.5,9.5,4.0,5.0,4,0.82,2.5,26.3,3.0,17.9,9.5,2.0,37.1,1.0,36.4,1.0,63.5,4.0,3.0,5535972,2.0,238709.0,5.0,NONE
MAHABANK,Bank of Maharashtra,Financial Services,18.0,9.5,3.5,5.0,4,0.84,2.5,34.3,3.0,18.9,9.5,1.5,15.3,1.5,73.6,0.5,26.4,3.5,3.0,18466750,2.0,60010.0,5.0,NONE
JSWSTEEL,JSW Steel Limited,Basic Materials,18.0,9.0,4.0,5.0,3,0.6,3.0,23.5,3.0,13.4,9.0,1.5,16.8,2.0,63.4,0.5,35.0,4.0,3.0,1732755,2.0,312108.0,5.0,NONE
JINDALSTEL,Jindal Steel Limited,Basic Materials,18.0,8.5,4.5,5.0,3,0.63,2.5,28.1,3.0,12.7,8.5,2.0,20.5,2.0,63.9,0.5,36.4,4.5,3.0,1533256,2.0,125355.0,5.0,NONE
JIOFIN,Jio Financial Services Limited,Financial Services,17.5,7.5,5.0,5.0,3,0.65,2.5,27.2,2.0,32.8,7.5,2.0,20.6,2.0,50.2,1.0,50.4,5.0,3.0,14303094,2.0,153893.0,5.0,NONE
