symbol,name,sector,risk_score,volatility_risk_score,concentration_risk_score,liquidity_risk_score,beta_score,beta,volatility_score,annual_volatility_pct,drawdown_score,max_drawdown_pct,volatility_risk_total,institutional_score,institutional_holding_pct,promoter_score,promoter_holding_pct,float_score,float_pct,concentration_risk_total,volume_score,avg_volume,mcap_score,market_cap_cr,liquidity_risk_total,risk_flags
BANDHANBNK,Bandhan Bank Limited,Financial Services,17.5,8.5,4.5,4.5,4,0.8,2.0,36.9,2.5,27.9,8.5,2.0,34.0,1.5,42.7,1.0,60.9,4.5,3.0,9112121,1.5,31328.0,4.5,NONE
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,17.5,9.0,4.5,4.0,3,0.71,3.0,22.5,3.0,13.4,9.0,1.5,17.2,2.0,60.0,1.0,40.2,4.5,2.0,373091,2.0,289814.0,4.0,NONE
BAJAJCON,Bajaj Consumer Care Limited,Consumer Defensive,17.5,9.0,4.5,4.0,4,0.81,2.0,49.4,3.0,18.0,9.0,2.0,24.0,1.5,44.0,1.0,56.0,4.5,3.0,1391441,1.0,7020.0,4.0,NONE
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,17.5,8.0,5.0,4.5,3,0.6,2.5,29.6,2.5,24.8,8.0,2.0,25.9,2.0,56.4,1.0,47.1,5.0,2.5,999897,2.0,115836.0,4.5,NONE
NATIONALUM,National Aluminium Company Limited,Basic Materials,17.5,8.0,4.5,5.0,3,0.6,2.0,37.0,3.0,20.0,8.0,1.5,19.8,2.0,51.3,1.0,48.7,4.5,3.0,11823717,2.0,74126.0,5.0,NONE
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,17.5,8.5,4.0,5.0,3,0.71,2.5,32.1,3.0,19.7,8.5,1.5,14.9,2.0,68.5,0.5,31.4,4.0,3.0,5667646,2.0,93602.0,5.0,NONE
NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,17.5,7.5,5.0,5.0,2,0.43,2.5,28.5,3.0,16.4,7.5,2.0,31.2,2.0,57.3,1.0,53.1,5.0,3.0,7295754,2.0,78002.0,5.0,NONE
NMDC,NMDC Limited,Basic Materials,17.5,8.5,4.0,5.0,3,0.68,2.5,26.9,3.0,11.4,8.5,1.5,19.4,2.0,60.8,0.5,39.2,4.0,3.0,22859306,2.0,80366.0,5.0,NONE
IOC,Indian Oil Corporation Limited,Energy,17.5,9.5,3.0,5.0,4,0.86,3.0,24.7,2.5,27.6,9.5,1.5,14.3,1.5,73.4,0.0,23.9,3.0,3.0,13750228,2.0,189902.0,5.0,NONE
BANKINDIA,Bank of India Limited,Financial Services,17.0,9.0,3.0,5.0,4,0.82,2.5,31.2,2.5,22.7,9.0,1.5,14.2,1.5,73.4,0.0,18.2,3.0,3.0,9967222,2.0,64766.0,5.0,NONE
MARICO,Marico Limited,Consumer Defensive,17.0,7.0,5.0,5.0,1,0.17,3.0,17.7,3.0,10.5,7.0,2.0,23.9,2.0,59.2,1.0,42.2,5.0,3.0,1871763,2.0,108996.0,5.0,NONE
LTF,L&T Finance Limited,Financial Services,17.0,8.0,4.0,5.0,3,0.69,2.5,32.3,2.5,25.0,8.0,1.5,19.9,2.0,66.0,0.5,33.7,4.0,3.0,7148862,2.0,70341.0,5.0,NONE
BRITANNIA,Britannia Industries Limited,Consumer Defensive,17.0,8.0,5.0,4.0,2,0.54,3.0,20.2,3.0,15.3,8.0,2.0,25.4,2.0,50.5,1.0,48.8,5.0,2.0,350297,2.0,130213.0,4.0,NONE
FORTIS,Fortis Healthcare Limited,Healthcare,17.0,8.0,4.0,5.0,3,0.7,2.5,27.1,2.5,28.2,8.0,2.0,46.6,1.0,35.2,1.0,64.8,4.0,3.0,2167317,2.0,72752.0,5.0,NONE
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,17.0,7.0,5.0,5.0,2,0.51,3.0,21.1,2.0,30.5,7.0,2.0,26.9,2.0,56.0,1.0,44.3,5.0,3.0,3187212,2.0,131314.0,5.0,NONE
BHARATFORG,Bharat Forge Limited,Consumer Cyclical,17.0,7.5,4.5,5.0,2,0.56,2.5,29.1,3.0,17.3,7.5,2.0,36.7,1.5,47.2,1.0,53.7,4.5,3.0,1211377,2.0,91463.0,5.0,NONE
CUMMINSIND,Cummins India Limited,Industrials,17.0,7.5,5.0,4.5,2,0.53,2.5,25.3,3.0,14.6,7.5,2.0,28.6,2.0,51.3,1.0,48.7,5.0,2.5,607470,2.0,149466.0,4.5,NONE
ADANIENSOL,Adani Energy Solutions Limited,Utilities,17.0,8.5,3.5,5.0,4,0.87,2.0,37.1,2.5,23.2,8.5,1.5,17.2,1.5,74.0,0.5,26.1,3.5,3.0,2154292,2.0,156599.0,5.0,NONE
INDIGO,InterGlobe Aviation Limited,Industrials,17.0,7.5,4.5,5.0,3,0.61,2.5,31.9,2.0,35.9,7.5,2.0,44.3,1.5,41.6,1.0,55.4,4.5,3.0,1587986,2.0,166834.0,5.0,NONE
GRAPHITE,Graphite India Limited,Industrials,17.0,8.5,4.0,4.5,4,0.91,2.0,42.5,2.5,22.8,8.5,1.5,12.1,2.0,66.0,0.5,33.8,4.0,3.0,1471514,1.5,15131.0,4.5,NONE
DABUR,Dabur India Limited,Consumer Defensive,17.0,7.5,4.5,5.0,2,0.41,3.0,22.5,2.5,25.3,7.5,2.0,22.9,2.0,67.6,0.5,33.2,4.5,3.0,2321176,2.0,82955.0,5.0,NONE
NTPC,NTPC Limited,Utilities,17.0,7.0,5.0,5.0,1,0.32,3.0,17.8,3.0,7.9,7.0,2.0,39.4,2.0,53.3,1.0,44.8,5.0,3.0,10938594,2.0,383261.0,5.0,NONE
ENGINERSIN,Engineers India Limited,Industrials,17.0,8.0,4.5,4.5,4,1.03,2.0,40.7,2.0,33.3,8.0,1.5,15.6,2.0,51.3,1.0,48.6,4.5,3.0,5168623,1.5,13868.0,4.5,NONE
BAJFINANCE,Bajaj Finance Limited,Financial Services,17.0,7.0,5.0,5.0,2,0.41,2.5,28.7,2.5,26.7,7.0,2.0,24.5,2.0,56.3,1.0,42.5,5.0,3.0,8021947,2.0,566107.0,5.0,NONE
AARTIIND,Aarti Industries Limited,Basic Materials,17.0,8.0,4.5,4.5,3,0.66,2.5,33.9,2.5,30.0,8.0,2.0,22.2,1.5,42.5,1.0,56.5,4.5,3.0,1133397,1.5,16928.0,4.5,NONE
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,17.0,7.5,4.5,5.0,2,0.4,3.0,20.1,2.5,23.2,7.5,1.5,19.4,2.0,62.3,1.0,43.4,4.5,3.0,1679488,2.0,533874.0,5.0,NONE
NESTLEIND,Nestlé India Limited,Consumer Defensive,17.0,8.0,4.0,5.0,2,0.49,3.0,20.5,3.0,12.0,8.0,1.5,17.0,2.0,62.9,0.5,36.4,4.0,3.0,1455883,2.0,275845.0,5.0,NONE
COALINDIA,Coal India Limited,Energy,17.0,7.0,5.0,5.0,1,0.0,3.0,21.6,3.0,10.3,7.0,2.0,25.6,2.0,63.1,1.0,41.2,5.0,3.0,7836065,2.0,284841.0,5.0,NONE
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,16.5,7.5,4.0,5.0,2,0.5,2.5,27.2,3.0,17.0,7.5,1.5,19.9,2.0,68.1,0.5,37.9,4.0,3.0,2379410,2.0,413584.0,5.0,NONE
ARE&M,Amara Raja Energy & Mobility Limited,Industrials,16.5,8.5,4.0,4.0,4,0.85,2.5,28.9,2.0,37.6,8.5,2.0,28.8,1.0,33.3,1.0,56.5,4.0,2.5,680574,1.5,15080.0,4.0,NONE
BHARTIARTL,Bharti Airtel Limited,Communication Services,16.5,7.0,4.5,5.0,1,0.04,3.0,19.4,3.0,18.8,7.0,2.0,32.2,1.5,48.0,1.0,50.2,4.5,3.0,7752164,2.0,1160669.0,5.0,NONE
GVT&D,GE Vernova T&D India Ltd,Industrials,16.5,7.0,5.0,4.5,2,0.57,2.0,41.3,3.0,19.3,7.0,2.0,29.5,2.0,51.7,1.0,48.2,5.0,2.5,666531,2.0,111191.0,4.5,NONE
BIOCON,Biocon Limited,Healthcare,16.5,6.5,5.0,5.0,1,0.23,2.5,26.4,3.0,19.3,6.5,2.0,24.2,2.0,54.1,1.0,43.1,5.0,3.0,3751790,2.0,69647.0,5.0,NONE
INDGN,INDGN,Healthcare,16.5,7.5,5.0,4.0,3,0.76,2.5,27.4,2.0,31.4,7.5,2.0,23.1,2.0,57.1,1.0,41.7,5.0,2.5,573107,1.5,12403.0,4.0,NONE
LUPIN,Lupin Limited,Healthcare,16.5,7.0,4.5,5.0,1,0.23,3.0,20.9,3.0,9.9,7.0,2.0,34.1,1.5,47.0,1.0,52.9,4.5,3.0,1009385,2.0,104071.0,5.0,NONE
LAURUSLABS,Laurus Labs Limited,Healthcare,16.5,7.5,4.0,5.0,2,,2.5,29.1,3.0,16.3,7.5,2.0,29.3,1.0,32.1,1.0,67.3,4.0,3.0,1990100,2.0,71473.0,5.0,NONE
HUDCO,Housing and Urban Development Corporation Limited,Financial Services,16.5,8.5,3.5,4.5,4,0.98,2.5,33.5,2.0,33.8,8.5,1.5,11.2,1.5,75.0,0.5,25.0,3.5,3.0,4867172,1.5,41345.0,4.5,NONE
GMRAIRPORT,GMR Airports Limited,Industrials,16.5,8.0,3.5,5.0,3,0.64,2.5,29.9,2.5,21.8,8.0,1.5,11.4,1.5,73.6,0.5,26.1,3.5,3.0,14745600,2.0,101989.0,5.0,NONE
LENSKART,LENSKART,Healthcare,16.5,7.0,4.5,5.0,2,,2.0,41.7,3.0,14.6,7.0,2.0,39.2,2.0,56.7,0.5,32.7,4.5,3.0,5100690,2.0,81140.0,5.0,NONE
ASHOKLEY,Ashok Leyland Limited,Industrials,16.5,7.0,4.5,5.0,2,0.47,2.5,33.3,2.5,30.0,7.0,2.0,25.3,1.5,40.1,1.0,57.6,4.5,3.0,17240282,2.0,89946.0,5.0,NONE
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,16.5,6.5,5.0,5.0,1,0.03,2.5,25.6,3.0,14.9,6.5,2.0,28.8,2.0,54.2,1.0,48.0,5.0,3.0,1341566,2.0,87806.0,5.0,NONE
ONGC,Oil and Natural Gas Corporation Limited,Energy,16.5,7.0,4.5,5.0,1,0.19,3.0,22.0,3.0,9.4,7.0,2.0,23.2,2.0,69.2,0.5,30.8,4.5,3.0,13625415,2.0,376591.0,5.0,NONE
MANAPPURAM,Manappuram Finance Limited,Financial Services,16.5,8.0,4.0,4.5,3,0.69,2.5,32.1,2.5,21.4,8.0,2.0,32.8,1.0,32.9,1.0,52.4,4.0,3.0,4889724,1.5,28880.0,4.5,NONE
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,16.5,7.0,4.5,5.0,2,0.59,2.5,31.6,2.5,24.9,7.0,2.0,35.2,1.5,49.3,1.0,50.5,4.5,3.0,1753934,2.0,131795.0,5.0,NONE
ASIANPAINT,Asian Paints Limited,Basic Materials,16.5,6.5,5.0,5.0,1,0.28,3.0,23.7,2.5,28.5,6.5,2.0,26.7,2.0,52.9,1.0,46.2,5.0,3.0,1230572,2.0,249784.0,5.0,NONE
BEL,Bharat Electronics Limited,Industrials,16.5,6.5,5.0,5.0,1,0.3,2.5,26.0,3.0,15.6,6.5,2.0,27.3,2.0,53.2,1.0,47.9,5.0,3.0,17573252,2.0,309679.0,5.0,NONE
BANKBARODA,Bank of Baroda Limited,Financial Services,16.5,7.0,4.5,5.0,2,0.46,2.5,26.0,2.5,23.7,7.0,2.0,20.5,2.0,66.1,0.5,35.8,4.5,3.0,9450772,2.0,135179.0,5.0,NONE
CANBK,Canara Bank,Financial Services,16.0,7.0,4.0,5.0,2,0.56,2.5,28.2,2.5,22.3,7.0,1.5,15.9,2.0,64.5,0.5,34.0,4.0,3.0,25744622,2.0,116168.0,5.0,NONE
INDUSTOWER,Indus Towers Limited,Communication Services,16.0,6.0,5.0,5.0,1,0.02,2.5,27.2,2.5,23.9,6.0,2.0,28.8,2.0,51.1,1.0,48.9,5.0,3.0,6961176,2.0,113437.0,5.0,NONE
NSLNISP,NMDC Steel Limited,Basic Materials,16.0,7.0,4.5,4.5,3,0.7,2.0,40.0,2.0,30.4,7.0,2.0,29.7,2.0,60.8,0.5,38.9,4.5,3.0,5707113,1.5,12836.0,4.5,NONE
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,16.0,6.5,4.5,5.0,1,0.39,3.0,24.2,2.5,23.2,6.5,2.0,20.8,2.0,65.2,0.5,35.4,4.5,3.0,1363183,2.0,106336.0,5.0,NONE
NHPC,NHPC Limited,Utilities,16.0,7.0,4.0,5.0,1,0.24,3.0,23.5,3.0,18.6,7.0,1.5,15.4,2.0,68.5,0.5,32.3,4.0,3.0,13698661,2.0,77136.0,5.0,NONE
OIL,Oil India Limited,Energy,16.0,6.5,4.5,5.0,1,0.28,2.5,30.4,3.0,18.8,6.5,2.0,21.5,2.0,66.6,0.5,33.4,4.5,3.0,4018881,2.0,84307.0,5.0,NONE
HEG,HEG Limited,Industrials,16.0,7.5,4.0,4.5,3,0.75,2.0,41.5,2.5,25.1,7.5,1.5,12.4,2.0,59.5,0.5,26.3,4.0,3.0,2142313,1.5,12053.0,4.5,NONE
DIVISLAB,Divi's Laboratories Limited,Healthcare,16.0,7.0,5.0,4.0,1,0.22,3.0,22.7,3.0,18.2,7.0,2.0,28.6,2.0,52.0,1.0,44.3,5.0,2.0,379598,2.0,179470.0,4.0,NONE
IGL,Indraprastha Gas Limited,Utilities,16.0,6.5,5.0,4.5,2,0.54,2.5,27.1,2.0,34.4,6.5,2.0,34.4,2.0,50.0,1.0,45.0,5.0,3.0,3195658,1.5,21297.0,4.5,NONE
COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,16.0,7.0,5.0,4.0,2,0.56,3.0,23.7,2.0,32.6,7.0,2.0,21.3,2.0,51.4,1.0,48.6,5.0,2.0,488528,2.0,58749.0,4.0,NONE
EXIDEIND,Exide Industries Limited,Consumer Cyclical,16.0,6.5,5.0,4.5,2,0.58,2.5,25.2,2.0,32.6,6.5,2.0,21.7,2.0,50.9,1.0,49.1,5.0,3.0,2213422,1.5,29669.0,4.5,NONE
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,16.0,7.0,4.5,4.5,1,0.3,3.0,24.9,3.0,19.6,7.0,2.0,27.1,1.5,49.9,1.0,48.9,4.5,2.5,514923,2.0,192418.0,4.5,NONE
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,16.0,6.5,4.5,5.0,2,0.41,2.5,30.2,2.0,33.0,6.5,1.5,18.9,2.0,60.0,1.0,43.5,4.5,3.0,3138539,2.0,132020.0,5.0,NONE
GRASIM,Grasim Industries Limited,Basic Materials,16.0,7.0,4.5,4.5,1,0.29,3.0,21.3,3.0,14.5,7.0,2.0,26.0,1.5,47.9,1.0,53.3,4.5,2.5,714622,2.0,198962.0,4.5,NONE
AUBANK,AU Small Finance Bank Limited,Financial Services,16.0,7.5,3.5,5.0,2,,2.5,28.9,3.0,18.2,7.5,2.0,45.7,1.0,31.3,0.5,25.1,3.5,3.0,2653913,2.0,74125.0,5.0,NONE
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,15.5,6.5,4.5,4.5,2,,2.5,28.8,2.0,33.5,6.5,1.5,11.8,2.0,62.8,1.0,52.5,4.5,3.0,1302666,1.5,18025.0,4.5,NONE
GODIGIT,GODIGIT,Financial Services,15.5,8.0,3.5,4.0,2,,3.0,24.6,3.0,18.4,8.0,1.5,14.4,1.5,74.6,0.5,26.8,3.5,2.5,667242,1.5,28718.0,4.0,NONE
GMRP&UI,GMR Power And Urban Infra Limited,Energy,15.5,8.0,3.5,4.0,4,0.85,2.0,41.0,2.0,32.1,8.0,1.0,3.8,2.0,69.8,0.5,35.4,3.5,3.0,1977509,1.0,8896.0,4.0,NONE
GLAND,Gland Pharma Limited,Healthcare,15.5,7.0,5.0,3.5,2,,2.5,26.1,2.5,23.3,7.0,2.0,35.9,2.0,51.8,1.0,48.2,5.0,2.0,201886,1.5,30781.0,3.5,NONE
CASTROLIND,Castrol India Limited,Energy,15.5,6.5,4.5,4.5,1,0.35,3.0,17.3,2.5,20.6,6.5,1.5,18.8,2.0,51.3,1.0,47.4,4.5,3.0,2112927,1.5,17947.0,4.5,NONE
HAVELLS,Havells India Limited,Industrials,15.5,6.5,4.5,4.5,1,0.28,3.0,23.0,2.5,26.7,6.5,2.0,23.2,2.0,63.6,0.5,39.5,4.5,2.5,909657,2.0,75873.0,4.5,NONE
MGL,Mahanagar Gas Limited,Utilities,15.5,7.5,4.5,3.5,3,0.78,2.5,30.6,2.0,39.7,7.5,2.0,27.5,1.5,43.6,1.0,57.5,4.5,2.0,393795,1.5,10743.0,3.5,NONE
JAYNECOIND,Jayaswal Neco Industries Limited,Basic Materials,15.5,7.5,3.5,4.5,4,0.88,1.0,65.2,2.5,30.0,7.5,1.0,0.4,2.0,69.2,0.5,32.2,3.5,3.0,16851337,1.5,10103.0,4.5,HIGH_VOLATILITY
NUVAMA,Nuvama Wealth Management Limited,Financial Services,15.5,6.5,5.0,4.0,2,,2.0,37.8,2.5,29.7,6.5,2.0,22.2,2.0,59.0,1.0,40.3,5.0,2.5,637032,1.5,26571.0,4.0,NONE
BELRISE,BELRISE,Consumer Cyclical,15.5,7.0,4.0,4.5,2,,2.0,40.2,3.0,14.7,7.0,1.5,14.5,2.0,66.5,0.5,29.8,4.0,3.0,10939977,1.5,18639.0,4.5,NONE
GPPL,Gujarat Pipavav Port Limited,Industrials,15.5,7.0,4.5,4.0,2,0.47,2.5,30.0,2.5,26.5,7.0,2.0,29.0,1.5,44.0,1.0,56.0,4.5,3.0,1974999,1.0,7305.0,4.0,NONE
NBCC,NBCC (India) Limited,Industrials,15.5,7.0,4.0,4.5,3,0.67,2.0,35.4,2.0,39.4,7.0,1.5,14.4,2.0,61.8,0.5,38.5,4.0,3.0,11294639,1.5,25331.0,4.5,NONE
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,15.5,6.5,4.5,4.5,1,0.31,2.5,30.0,3.0,18.5,6.5,2.0,26.0,1.5,49.0,1.0,50.2,4.5,2.5,862505,2.0,65637.0,4.5,NONE
KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,15.5,7.0,4.5,4.0,2,,2.0,40.9,3.0,16.6,7.0,2.0,30.2,1.5,42.9,1.0,57.1,4.5,2.5,586497,1.5,25299.0,4.0,NONE
JSL,Jindal Stainless Limited,Basic Materials,15.5,7.5,3.5,4.5,2,0.43,2.5,32.8,3.0,19.5,7.5,1.5,12.1,2.0,64.7,0.0,23.0,3.5,2.5,799174,2.0,61755.0,4.5,NONE
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,15.5,6.0,5.0,4.5,2,0.45,2.0,35.1,2.0,31.4,6.0,2.0,35.8,2.0,53.7,1.0,46.3,5.0,3.0,2951965,1.5,44556.0,4.5,NONE
CONCOR,Container Corporation of India Limited,Industrials,15.5,6.0,5.0,4.5,1,0.37,3.0,24.3,2.0,33.6,6.0,2.0,39.5,2.0,57.9,1.0,45.1,5.0,3.0,1739397,1.5,39513.0,4.5,NONE
GESHIP,The Great Eastern Shipping Company Limited,Industrials,15.5,7.5,4.0,4.0,2,,2.5,30.5,3.0,10.5,7.5,2.0,27.2,1.0,30.8,1.0,69.2,4.0,2.5,559984,1.5,21899.0,4.0,NONE
ATHERENERG,Ather Energy Limited,Consumer Cyclical,15.5,6.5,4.5,4.5,2,,2.0,47.4,2.5,21.5,6.5,2.0,23.9,2.0,59.4,0.5,39.5,4.5,3.0,2984097,1.5,35901.0,4.5,NONE
ASTRAL,Astral Limited,Industrials,15.5,6.5,5.0,4.0,1,0.15,2.5,29.4,3.0,19.2,6.5,2.0,25.9,2.0,54.3,1.0,44.7,5.0,2.5,763544,1.5,41662.0,4.0,NONE
ADANIENT,Adani Enterprises Limited,Energy,15.5,7.5,3.0,5.0,3,0.77,2.5,33.6,2.0,34.3,7.5,1.5,14.6,1.0,77.3,0.5,32.5,3.0,3.0,1479111,2.0,372348.0,5.0,NONE
JSWENERGY,JSW Energy Limited,Utilities,15.5,6.5,4.0,5.0,1,-0.13,2.5,29.7,3.0,19.8,6.5,1.5,17.6,2.0,68.9,0.5,30.3,4.0,3.0,3189078,2.0,90449.0,5.0,NONE
CIPLA,Cipla Limited,Healthcare,15.5,6.5,4.0,5.0,1,0.09,3.0,21.2,2.5,28.3,6.5,2.0,40.1,1.0,31.0,1.0,69.7,4.0,3.0,1593353,2.0,115685.0,5.0,NONE
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,15.5,6.5,4.0,5.0,1,0.36,3.0,22.1,2.5,25.0,6.5,1.5,14.5,2.0,63.9,0.5,34.7,4.0,3.0,1253579,2.0,276238.0,5.0,NONE
INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical,15.5,6.5,4.0,5.0,1,-0.13,3.0,24.6,2.5,29.2,6.5,2.0,31.9,1.0,39.4,1.0,59.9,4.0,3.0,2840730,2.0,93413.0,5.0,NONE
LT,Larsen & Toubro Limited,Industrials,15.5,7.5,3.0,5.0,2,0.49,3.0,24.3,2.5,24.3,7.5,2.0,49.5,0.0,17.2,1.0,83.1,3.0,3.0,2163546,2.0,537749.0,5.0,NONE
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,15.5,7.0,4.0,4.5,2,0.56,2.5,26.7,2.5,20.3,7.0,2.0,36.6,1.0,37.4,1.0,64.7,4.0,2.5,693623,2.0,101337.0,4.5,NONE
HCLTECH,HCL Technologies Limited,Technology,15.5,6.0,4.5,5.0,1,0.07,3.0,24.6,2.0,33.8,6.0,2.0,27.4,2.0,62.7,0.5,38.6,4.5,3.0,3115125,2.0,306442.0,5.0,NONE
HDFCBANK,HDFC Bank Limited,Financial Services,15.0,7.5,2.5,5.0,2,0.48,3.0,18.8,2.5,27.8,7.5,1.5,57.9,0.0,0.2,1.0,99.6,2.5,3.0,25933535,2.0,1181599.0,5.0,NONE
METROPOLIS,Metropolis Healthcare Limited,Healthcare,15.0,7.0,4.5,3.5,2,,2.5,30.9,2.5,24.4,7.0,2.0,43.6,1.5,48.9,1.0,50.0,4.5,2.0,380300,1.5,10965.0,3.5,NONE
JKTYRE,JK Tyre & Industries Limited,Consumer Cyclical,15.0,6.0,4.5,4.5,2,0.49,2.0,36.7,2.0,37.5,6.0,1.5,14.1,2.0,62.3,1.0,45.2,4.5,3.0,1301104,1.5,10899.0,4.5,NONE
PARAS,Paras Defence and Space Technologies Limited,Industrials,15.0,7.0,4.0,4.0,3,0.62,2.0,48.2,2.0,37.3,7.0,1.0,3.9,2.0,56.1,1.0,44.1,4.0,3.0,1347606,1.0,6071.0,4.0,NONE
JBCHEPHARM,J. B. Chemicals & Pharmaceuticals Limited,Healthcare,15.0,7.0,4.5,3.5,1,-0.04,3.0,22.6,3.0,10.7,7.0,2.0,29.3,1.5,49.2,1.0,49.5,4.5,2.0,249128,1.5,34366.0,3.5,NONE
HDBFS,HDBFS,Financial Services,15.0,7.0,3.0,5.0,2,,3.0,24.7,2.0,35.0,7.0,1.5,13.0,1.5,74.5,0.0,24.7,3.0,3.0,1774982,2.0,55914.0,5.0,NONE
BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive,15.0,6.5,4.5,4.0,2,,2.5,30.8,2.0,35.6,6.5,2.0,34.6,1.5,43.3,1.0,58.5,4.5,2.5,533336,1.5,10897.0,4.0,NONE
NAZARA,Nazara Technologies Limited,Communication Services,15.0,6.0,4.5,4.5,2,,2.0,40.4,2.0,39.1,6.0,2.0,26.2,1.5,41.1,1.0,62.7,4.5,3.0,3593159,1.5,11112.0,4.5,NONE
OBEROIRLTY,Oberoi Realty Limited,Real Estate,15.0,6.0,4.5,4.5,1,0.33,2.5,26.3,2.5,28.8,6.0,2.0,24.8,2.0,67.7,0.5,32.0,4.5,2.5,585944,2.0,58802.0,4.5,NONE
CARBORUNIV,Carborundum Universal Limited,Industrials,15.0,7.0,4.5,3.5,2,,2.5,32.8,2.5,26.0,7.0,2.0,37.2,1.5,40.5,1.0,61.4,4.5,2.0,224321,1.5,21000.0,3.5,NONE
GODREJPROP,Godrej Properties Limited,Real Estate,15.0,5.5,5.0,4.5,2,0.48,2.5,34.4,1.0,40.4,5.5,2.0,23.7,2.0,57.6,1.0,40.7,5.0,2.5,931989,2.0,51630.0,4.5,NONE
AEGISLOG,AEGISLOG,Energy,15.0,7.0,4.0,4.0,3,0.67,2.0,37.2,2.0,36.2,7.0,1.5,16.2,2.0,67.5,0.5,34.4,4.0,2.5,736826,1.5,23663.0,4.0,NONE
MTARTECH,MTAR Technologies Limited,Industrials,15.0,7.5,4.0,3.5,4,1.04,1.0,51.6,2.5,21.2,7.5,2.0,31.2,1.0,30.4,1.0,64.2,4.0,2.0,487733,1.5,22251.0,3.5,NONE
