symbol,name,sector,market_cap_cr,avg_volume,current_price
MAZDOCK,Mazagon Dock Shipbuilders Limited,Industrials,100110.85,1230016,2481.8
LLOYDSME,Lloyds Metals and Energy Limited,Basic Materials,97547.26,540012,1734.0
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,93602.4,3407250,357.15
INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical,93412.74,3751976,656.25
ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Services,91565.31,496976,1835.2
BHARATFORG,Bharat Forge Limited,Consumer Cyclical,91463.14,1129742,1913.1
NTPCGREEN,NTPC GREEN ENERGY LIMITED,Utilities,90995.93,8686351,107.99
JSWENERGY,JSW Energy Limited,Utilities,90449.3,5711746,515.05
ASHOKLEY,Ashok Leyland Limited,Industrials,89946.34,24850228,153.13
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,87805.59,1200916,1511.8
MEESHO,MEESHO LIMITED,Consumer Cyclical,87459.69,17760320,190.65
MCX,Multi Commodity Exchange of India Limited,Financial Services,86305.73,4414748,3391.0
LODHA,Lodha Developers Limited,Real Estate,84902.79,1538960,849.95
OIL,Oil India Limited,Energy,84307.08,12812051,518.3
DABUR,Dabur India Limited,Consumer Defensive,82955.49,1911560,467.7
LENSKART,LENSKART SOLUTIONS LTD,Healthcare,81139.69,6289086,469.25
NMDC,NMDC Limited,Basic Materials,80366.0,26526611,91.41
OFSS,Oracle Financial Services Software Limited,Technology,78486.8,177258,9015.0
BHARTIHEXA,BHARTI HEXACOM LIMITED,Communication Services,78115.0,174132,1562.3
NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,78001.96,3088409,272.4
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,77963.41,11077672,366.4
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Services,77606.21,706856,535.6
NHPC,NHPC Limited,Utilities,77135.82,11410247,76.79
HAVELLS,Havells India Limited,Industrials,75872.99,667260,1209.6
IDBI,IDBI Bank Limited,Financial Services,75675.4,4584526,70.38
NATIONALUM,National Aluminium Company Limited,Basic Materials,74126.46,8364248,403.6
AUBANK,AU Small Finance Bank Limited,Financial Services,74124.94,1303097,990.5
FORTIS,Fortis Healthcare Limited,Healthcare,72751.55,1563226,963.65
LAURUSLABS,Laurus Labs Limited,Healthcare,71472.64,2627154,1323.6
LTF,L&T Finance Limited,Financial Services,70340.52,5561866,280.75
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,70250.14,1147804,1100.6
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,Financial Services,69835.83,3684145,83.85
BIOCON,Biocon Limited,Healthcare,69647.44,10374490,430.1
FEDERALBNK,The Federal Bank Limited,Financial Services,69314.4,9870716,281.3
INDUSINDBK,IndusInd Bank Limited,Financial Services,69059.97,1537458,886.4
GICRE,General Insurance Corporation of India,Financial Services,67974.23,323219,387.45
ATGL,Adani Total Gas Limited,Utilities,67775.79,2390854,616.25
DIXON,Dixon Technologies (India) Limited,Technology,66626.88,1126240,10979.0
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,65637.08,765147,2325.9
ALKEM,Alkem Laboratories Limited,Healthcare,65593.36,54222,5486.0
IOB,Indian Overseas Bank,Financial Services,65068.02,2557883,33.79
BANKINDIA,Bank of India Limited,Financial Services,64766.25,13573523,142.26
LINDEINDIA,Linde India Limited,Basic Materials,62700.96,30788,7352.0
BERGEPAINT,Berger Paints India Limited,Basic Materials,62200.42,2921622,533.45
JSL,Jindal Stainless Limited,Basic Materials,61755.04,551544,749.5
NAUKRI,Info Edge (India) Limited,Communication Services,60116.51,1746906,928.1
MAHABANK,Bank of Maharashtra,Financial Services,60009.51,15657249,78.02
ABBOTINDIA,Abbott India Limited,Healthcare,59370.55,18981,27940.0
OBEROIRLTY,Oberoi Realty Limited,Real Estate,58801.75,458470,1617.2
COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,58748.9,326095,2160.0
IDFCFIRSTB,IDFC First Bank Limited,Financial Services,58235.26,23178696,67.65
FACT,The Fertilisers and Chemicals Travancore Limited,Basic Materials,57117.05,147845,882.7
HDBFS,HDB FINANCIAL SERVICES L,Financial Services,55913.91,419183,674.95
JSWINFRA,JSW Infrastructure Limited,Industrials,55671.9,2465284,267.1
HINDCOPPER,Hindustan Copper Limited,Basic Materials,55144.55,11698869,570.25
MFSL,Max Financial Services Limited,Financial Services,55088.84,814122,1604.0
COFORGE,Coforge Limited,Technology,55085.06,3746841,1282.1
COROMANDEL,Coromandel International Limited,Basic Materials,54988.55,418058,1865.8
MRF,MRF Limited,Consumer Cyclical,54558.06,6643,128640.0
APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,52482.99,440332,1890.2
GODREJPROP,Godrej Properties Limited,Real Estate,51630.02,718734,1714.1
APARINDS,APAR Industries Limited,Industrials,50812.92,70153,12650.0
MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,50770.43,877886,843.3
KEI,KEI Industries Limited,Industrials,48923.6,403643,5117.5
NLCINDIA,NLC India Limited,Utilities,48920.54,21761041,352.8
BDL,Bharat Dynamics Limited,Industrials,48584.19,984750,1325.4
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,44555.77,2234099,320.65
360ONE,360 One Wam Limited,Financial Services,44440.57,703424,1093.8
ANTHEM,ANTHEM BIOSCIENCES LTD,Healthcare,43999.05,412771,783.3
AIIL,Authum Investment & Infrastructure Limited,Financial Services,42928.35,345758,505.5
IRCTC,Indian Railway Catering & Tourism Corporation Limited,Consumer Cyclical,42876.0,887702,535.95
JKCEMENT,J.K. Cement Limited,Basic Materials,42219.37,43134,5464.0
COCHINSHIP,Cochin Shipyard Limited,Industrials,41948.23,1568249,1594.5
ASTRAL,Astral Limited,Industrials,41662.27,368567,1550.8
BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,41530.33,228392,2148.3
HUDCO,Housing and Urban Development Corporation Limited,Financial Services,41345.24,7103481,206.53
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,41314.74,71221,2438.8
PAGEIND,Page Industries Limited,Consumer Cyclical,41068.56,14093,36820.0
FLUOROCHEM,Gujarat Fluorochemicals Limited,Basic Materials,40792.8,61230,3713.5
IPCALAB,Ipca Laboratories Limited,Healthcare,40719.53,590006,1605.0
MPHASIS,Mphasis Limited,Technology,39751.01,540498,2083.2
AJANTPHARM,Ajanta Pharma Limited,Healthcare,39694.55,202483,3177.2
CONCOR,Container Corporation of India Limited,Industrials,39512.74,1557615,518.8
ASTERDM,Aster DM Healthcare Limited,Healthcare,38958.92,1077664,753.65
GODREJIND,Godrej Industries Limited,Industrials,38229.03,1468466,1135.05
GODFRYPHLP,Godfrey Phillips India Limited,Consumer Defensive,37824.01,811276,2424.9
NH,Narayana Hrudayalaya Limited,Healthcare,37392.71,338652,1841.1
LTTS,L&T Technology Services Limited,Technology,37048.9,83862,3495.1
KALYANKJIL,Kalyan Jewellers India Limited,Consumer Cyclical,36460.89,21705364,353.05
AIAENG,AIA Engineering Limited,Industrials,35987.13,17566,3856.3
NAVINFLUOR,Navin Fluorine International Limited,Basic Materials,35905.3,104478,7001.0
ATHERENERG,Ather Energy Limited,Consumer Cyclical,35900.78,5960306,937.4
ENDURANCE,Endurance Technologies Limited,Consumer Cyclical,35847.93,278165,2548.5
IREDA,Indian Renewable Energy Development Agency Limited,Financial Services,35705.33,7800282,127.1
DELHIVERY,Delhivery Limited,Industrials,35620.23,3016245,475.75
3MINDIA,3M India Limited,Industrials,35197.71,1768,31245.0
JBCHEPHARM,J. B. Chemicals & Pharmaceuticals Limited,Healthcare,34365.98,435986,2140.4
BLUESTARCO,Blue Star Limited,Industrials,34087.26,652640,1658.0
MEDANTA,Global Health Limited,Healthcare,33385.84,593347,1242.5
ESCORTS,Escorts Kubota Limited,Industrials,33010.42,181428,3000.2
DALBHARAT,Dalmia Bharat Limited,Basic Materials,32430.15,606179,1727.5
ITCHOTELS,ITC HOTELS LIMITED,Consumer Cyclical,32386.12,3179811,155.48
EMCURE,EMCURE PHARMACEUTICALS L,Healthcare,32323.12,196883,1704.9
KPRMILL,K.P.R. Mill Limited,Consumer Cyclical,31630.25,261968,923.45
BANDHANBNK,Bandhan Bank Limited,Financial Services,31327.86,9447417,194.46
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,31133.5,91953,1658.0
CENTRALBK,Central Bank of India,Financial Services,30910.54,4627946,34.15
GLAND,Gland Pharma Limited,Healthcare,30781.44,134752,1868.3
GRSE,Garden Reach Shipbuilders & Engineers Limited,Industrials,30767.52,1698915,2685.9
KIMS,Krishna Institute of Medical Sciences Limited,Healthcare,30476.58,1246711,761.65
JUBLFOOD,Jubilant FoodWorks Limited,Consumer Cyclical,30342.06,1459787,461.35
CRISIL,CRISIL Limited,Financial Services,30258.28,43375,4137.6
LICHSGFIN,LIC Housing Finance Limited,Financial Services,30091.2,3428559,547.05
HSCL,Himadri Speciality Chemical Limited,Basic Materials,30070.68,12030999,596.0
AMBER,Amber Enterprises India Limited,Consumer Cyclical,29854.04,314630,8476.5
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,29788.49,357127,1030.4
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,29747.12,304660,3583.1
EXIDEIND,Exide Industries Limited,Consumer Cyclical,29669.25,1911431,349.05
HEXT,Hexaware Technologies Limited,Technology,29506.87,683139,484.15
CPPLUS,ADITYA INFOTECH LIMITED,Industrials,29028.98,220628,2464.3
KARURVYSYA,The Karur Vysya Bank Limited,Financial Services,28906.74,3992424,299.05
MANAPPURAM,Manappuram Finance Limited,Financial Services,28879.89,4106297,307.45
GODIGIT,GO DIGIT GENERAL INS LTD,Financial Services,28717.6,154332,310.7
METROBRAND,Metro Brands Limited,Consumer Cyclical,28077.77,68943,1030.2
ANGELONE,Angel One Limited,Financial Services,27984.68,6322241,306.85
ITI,ITI Limited,Technology,27609.78,412854,286.75
NIACL,The New India Assurance Company Limited,Financial Services,27195.3,1763170,165.02
FORCEMOT,Force Motors Limited,Consumer Cyclical,26821.6,102447,20356.0
LALPATHLAB,Dr. Lal PathLabs Limited,Healthcare,26764.87,473437,1602.9
IKS,INVENTURUS KNOWLEDGE SO L,Healthcare,26740.0,330152,1595.3
MSUMI,Motherson Sumi Wiring India Limited,Consumer Cyclical,26573.07,4872435,40.07
NUVAMA,Nuvama Wealth Management Limited,Financial Services,26570.9,615172,1458.5
MRPL,Mangalore Refinery and Petrochemicals Limited,Energy,26345.07,5541251,150.32
AWL,AWL Agri Business Limited,Consumer Defensive,25840.61,2619351,199.73
HONAUT,Honeywell Automation India Limited,Industrials,25635.22,3982,28975.0
ACC,ACC Limited,Basic Materials,25591.65,342637,1362.8
GUJGASLTD,Gujarat Gas Limited,Utilities,25463.55,1039112,369.9
GILLETTE,Gillette India Limited,Consumer Defensive,25437.65,31547,7806.5
NBCC,NBCC (India) Limited,Industrials,25331.4,13638918,93.82
KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,25299.02,641696,1740.2
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,24955.33,2622325,394.5
DEEPAKNTR,Deepak Nitrite Limited,Basic Materials,24910.83,222077,1826.4
CDSL,Central Depository Services (India) Limited,Financial Services,24802.03,2310644,1186.7
IRB,IRB Infrastructure Developers Limited,Industrials,24518.34,10554658,20.3
CESC,CESC Limited,Utilities,23872.2,2605531,180.09
