symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pe_discount_pct,revenue_growth,earnings_growth,roe
AMBALALSA,Ambalal Sarabhai Enterprises Limited,Healthcare,14,7,7,0,0,23.919117,32.2,0.131,0.379,
GSFC,Gujarat State Fertilizers & Chemicals Limited,Basic Materials,14,8,3,0,3,9.775734,60.1,0.045,0.182,
INDIAGLYCO,India Glycols Limited,Basic Materials,14,3,10,1,0,23.583988,0.0,1.735,0.319,0.112849995
IOC,Indian Oil Corporation Limited,Energy,14,8,6,0,0,5.1822734,62.3,0.057,5.13,
AVL,Aditya Vision Limited,Consumer Cyclical,14,0,10,2,2,61.00552,0.0,0.305,0.369,0.18383
DBL,Dilip Buildcon Limited,Industrials,14,8,5,1,0,4.623037,84.2,-0.174,4.002,
KRN,KRN,Technology,14,0,10,2,2,107.47938,0.0,0.379,0.569,0.14258
NPST,NPST,Technology,14,1,10,2,1,58.82484,0.0,1.477,1.242,
NILKAMAL,Nilkamal Limited,Consumer Cyclical,14,8,4,0,2,17.761236,35.0,0.084,0.22,0.075679995
BANCOINDIA,Banco Products (India) Limited,Consumer Cyclical,14,5,8,1,0,17.824493,34.8,0.235,1.778,
DLINKINDIA,D-Link (India) Limited,Technology,14,6,3,3,2,16.499317,39.0,0.2,0.005,0.21211
GRINFRA,G R Infraprojects Limited,Industrials,14,8,2,2,2,10.020365,65.7,0.111,-0.487,0.100880004
MMTC,MMTC Limited,Industrials,14,1,10,2,1,35.789772,0.0,0.36,14.5,
BPCL,Bharat Petroleum Corporation Limited,Energy,14,8,6,0,0,4.9383683,64.1,0.052,0.888,
FINPIPE,Finolex Industries Limited,Industrials,14,7,3,1,3,20.439655,30.1,-0.103,0.237,
GREENPOWER,Orient Green Power Company Limited,Utilities,14,8,2,2,2,18.35484,45.1,0.124,,0.06458
DAMODARIND,Damodar Industries Limited,Consumer Cyclical,14,8,5,0,1,7.235142,73.5,0.346,-0.801,0.03682
JKTYRE,JK Tyre & Industries Limited,Consumer Cyclical,14,7,7,0,0,15.336714,43.9,0.15,2.878,
AHLWEST,Asian Hotels (West) Limited,Consumer Cyclical,14,8,5,1,0,12.90206,52.8,0.007,3.242,
BELLACASA,Bella Casa Fashion & Retail Limited,Consumer Cyclical,14,7,7,0,0,15.975284,41.5,0.112,0.252,
IGL,Indraprastha Gas Limited,Utilities,14,7,4,1,2,12.804713,61.7,0.082,0.206,
ESCORTS,Escorts Kubota Limited,Industrials,14,5,3,3,3,24.154255,17.4,0.214,0.006,0.120220006
GRSE,Garden Reach Shipbuilders & Engineers Limited,Industrials,14,0,8,4,2,44.645943,0.0,0.291,0.242,0.31791002
BANDHANBNK,Bandhan Bank Limited,Financial Services,14,3,10,1,0,25.654354,0.0,1.193,0.68,0.04877
MUNJALSHOW,Munjal Showa Limited,Consumer Cyclical,14,8,6,0,0,16.97795,37.9,0.096,0.832,
AJANTPHARM,Ajanta Pharma Limited,Healthcare,14,1,6,5,2,37.59555,0.0,0.215,0.186,0.25393
ACC,ACC Limited,Basic Materials,14,8,3,1,2,12.004934,51.0,0.178,-0.683,0.109280005
NETWEB,Netweb Technologies India Limited,Technology,14,0,10,3,1,105.27686,0.0,0.866,0.643,0.32834998
PANSARI,Pansari Developers Limited,Real Estate,14,2,10,2,0,27.103374,0.0,7.862,15.2,
GRANULES,Granules India Limited,Healthcare,14,2,8,2,2,30.12275,0.0,0.228,0.313,0.13522
KRITINUT,Kriti Nutrients Limited,Consumer Defensive,14,7,7,0,0,12.599705,47.7,0.297,0.109,
EUROBOND,EUROBOND,Industrials,14,6,8,0,0,18.346773,37.2,0.203,0.28,
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,14,7,7,0,0,18.213297,33.3,0.118,0.399,
LICHSGFIN,LIC Housing Finance Limited,Financial Services,14,8,1,3,2,5.3706064,70.8,0.044,0.086,0.14409
GILLETTE,Gillette India Limited,Consumer Defensive,13,0,8,2,3,47.61803,0.0,0.152,0.369,
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,13,0,8,2,3,108.71596,0.0,0.25,0.305,0.19561
DICIND,DIC India Limited,Basic Materials,13,4,7,0,2,27.328224,0.0,0.146,0.638,
ADOR,Ador Welding Limited,Industrials,13,4,6,0,3,22.373674,23.5,0.052,0.73,
MBEL,MBEL,Industrials,13,7,6,0,0,18.762136,35.8,0.071,0.256,
AWL,AWL Agri Business Limited,Consumer Defensive,13,3,8,1,1,24.811178,0.0,0.18,0.537,0.10519
CARTRADE,CarTrade Tech Limited,Consumer Cyclical,13,1,8,2,2,40.97912,0.0,0.198,0.573,0.09849
AKASH,Akash Infra-Projects Limited,Industrials,13,8,5,0,0,18.788733,35.7,-0.215,17.0,
CANTABIL,Cantabil Retail India Limited,Consumer Cyclical,13,4,8,1,0,21.234962,22.3,0.186,0.311,
MANUGRAPH,Manugraph India Limited,Industrials,13,8,5,0,0,8.424242,71.2,1.761,,
COSMOFIRST,Cosmo First Limited,Consumer Cyclical,13,8,5,0,0,13.587772,50.3,0.283,0.005,
ISGEC,Isgec Heavy Engineering Limited,Industrials,13,5,8,0,0,24.035864,17.8,0.162,2.476,
AMBICAAGAR,Ambica Agarbathies Aroma & Industries Limited,Consumer Defensive,13,3,10,0,0,31.445946,0.0,0.499,1.955,
ANANTRAJ,Anant Raj Limited,Real Estate,13,2,6,3,2,30.859673,0.0,0.249,0.205,0.11132
JAIPURKURT,Nandani Creation Limited,Consumer Cyclical,13,8,5,0,0,12.568464,54.0,1.002,-0.684,
NAHARINDUS,Nahar Industrial Enterprises Limited,Consumer Cyclical,13,8,5,0,0,11.256332,58.8,-0.208,0.252,
MANYAVAR,Vedant Fashions Limited,Consumer Cyclical,13,1,5,5,2,28.484455,0.0,0.159,0.131,0.20025998
HBLENGINE,HBLENGINE,Industrials,13,1,10,2,0,26.878483,0.0,0.94,2.442,
NAZARA,Nazara Technologies Limited,Communication Services,13,6,5,0,2,11.023521,59.9,-0.138,646.629,0.01974
KPIL,Kalpataru Projects International Limited,Industrials,13,4,7,1,1,20.660423,29.3,0.106,0.894,0.14513999
METROPOLIS,Metropolis Healthcare Limited,Healthcare,13,0,10,2,1,57.483696,0.0,0.254,0.73,0.13373
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Cyclical,13,2,8,1,2,29.417112,0.0,0.181,0.267,0.13085
EKC,Everest Kanto Cylinder Limited,Industrials,13,8,5,0,0,11.256134,61.5,-0.005,0.975,
INDUSTOWER,Indus Towers Limited,Communication Services,13,7,0,4,2,15.872693,42.3,0.048,0.008,0.19806999
AGROPHOS,Agro Phos (India) Limited,Basic Materials,13,8,5,0,0,12.28629,49.9,0.571,-0.631,
BHARATGEAR,Bharat Gears Limited,Consumer Cyclical,13,8,5,0,0,12.967328,52.5,0.333,,
KARMAENG,Karma Energy Limited,Utilities,13,6,5,2,0,26.629631,20.4,0.268,,
DIACABS,Diamond Power Infrastructure Limited,Industrials,13,3,10,0,0,99.21717,0.0,0.542,6.833,
GFLLIMITED,GFL Limited,Financial Services,13,3,8,2,0,414.9091,0.0,0.25,1.81,
JYOTISTRUC,Jyoti Structures Limited,Industrials,13,2,8,1,2,26.51064,0.0,0.462,0.153,0.108059995
JAYNECOIND,Jayaswal Neco Industries Limited,Basic Materials,13,2,8,2,1,21.813417,0.0,0.178,0.877,0.17754
ORIENTCER,Orient Ceratech Limited,Basic Materials,13,3,10,0,0,24.884148,0.0,0.26,1.643,
KRISHNADEF,KRISHNADEF,Industrials,13,0,8,2,3,52.619278,0.0,0.234,1.598,
JSLL,JSLL,Healthcare,13,1,10,2,0,37.4619,0.0,0.916,4.047,
BHAGERIA,Bhageria Industries Limited,Basic Materials,13,8,5,0,0,14.831438,39.5,0.418,-0.079,
BIRLACORPN,Birla Corporation Limited,Basic Materials,13,8,5,0,0,14.063924,42.6,-0.043,0.687,
KMSUGAR,K.M. Sugar Mills Limited,Consumer Defensive,13,8,5,0,0,4.6666665,80.6,0.02,0.635,
EMCURE,EMCURE,Healthcare,13,1,8,3,1,34.965137,0.0,0.167,0.288,0.19573
KLBRENG-B,Kilburn Engineering Limited,,13,1,10,2,0,,0.0,0.448,0.338,
NRL,Nupur Recyclers Limited,Industrials,13,3,10,0,0,27.32653,0.0,0.716,0.261,
MEDANTA,Global Health Limited,Healthcare,13,0,8,3,2,60.227825,0.0,0.245,0.42,0.15032
MARKOLINES,MARKOLINES,Industrials,13,7,6,0,0,13.532895,53.7,0.161,0.194,
HARSHA,Harsha Engineers International Limited,Industrials,13,5,8,0,0,23.80575,18.6,0.207,0.259,
DBEIL,DBEIL,Industrials,13,8,5,0,0,10.197889,65.1,0.274,-0.703,
ATALREAL,Atal Realtech Limited,Industrials,13,1,10,0,2,62.41304,0.0,0.378,8.929,0.079569995
PACEDIGITK,Pace Digitek Limited,Technology,13,7,5,1,0,15.12669,44.1,0.135,0.156,
AURIONPRO,Aurionpro Solutions Limited,Technology,13,5,4,2,2,19.49377,28.0,0.057,0.205,0.13245
CAPILLARY,CAPILLARY,Technology,13,1,10,0,2,76.96638,0.0,0.281,3.06,0.06582
MODIRUBBER,Modi Rubber Limited,Real Estate,13,6,3,2,2,20.09375,21.0,0.201,-0.281,0.02411
GHCL,GHCL Limited,Basic Materials,13,8,0,3,2,9.424726,61.5,0.029,-0.218,0.13420999
BANARISUG,Bannari Amman Sugars Limited,Consumer Defensive,13,2,10,0,1,31.950182,0.0,0.528,0.679,
EBGNG,EBGNG,Technology,13,0,8,3,2,277.5828,0.0,0.425,0.231,0.26766002
GODREJIND,Godrej Industries Limited,Industrials,13,1,10,1,1,39.058846,0.0,0.516,1.426,0.10832
ICICIBANK,ICICI Bank Limited,Financial Services,13,3,6,4,0,16.639925,0.0,0.669,0.084,0.16359
JAYSREETEA,Jay Shree Tea & Industries Limited,Consumer Defensive,13,8,5,0,0,6.3605065,73.6,0.257,,
CSBBANK,CSB Bank Limited,Financial Services,13,8,2,3,0,9.823337,46.6,0.079,0.058,0.13483
KRBL,KRBL Limited,Consumer Defensive,13,8,1,2,2,11.990446,50.2,0.063,0.007,0.11731
CMPDI,CMPDI,Basic Materials,13,1,2,5,5,27.101398,0.0,0.117,-0.322,0.28355
360ONE,360 One Wam Limited,Financial Services,13,1,7,3,2,37.458904,0.0,0.269,0.11,0.14392
GVT&D,GE Vernova T&D India Ltd,Industrials,13,0,10,2,1,104.16407,0.0,0.584,1.04,
KIRLFER,Kirloskar Ferrous Industries Limited,Industrials,13,3,10,0,0,20.616343,29.5,0.299,0.44,
BASML,Bannari Amman Spinning Mills Ltd,Consumer Cyclical,13,8,5,0,0,10.61062,61.2,-0.043,0.75,
HEXT,Hexaware Technologies Limited,Technology,13,4,3,4,2,21.46055,20.7,0.126,0.079,0.22272
INOXGREEN,Inox Green Energy Services Limited,Utilities,13,1,10,2,0,106.37126,0.0,0.338,3.998,
COASTCORP,Coastal Corporation Limited,Consumer Defensive,13,3,10,0,0,26.836206,0.0,0.649,2.63,
MURUDCERA,Murudeshwar Ceramics Ltd.,Industrials,13,8,5,0,0,16.386473,44.0,0.019,1.429,
BANSWRAS,Banswara Syntex Limited,Consumer Cyclical,13,8,5,0,0,16.12316,41.0,0.003,0.382,
HSCL,Himadri Speciality Chemical Limited,Basic Materials,13,0,7,4,2,39.680424,0.0,0.135,0.278,0.17698
LOTUSDEV,LOTUSDEV,Industrials,13,2,5,4,2,27.559523,0.0,0.625,-0.005,0.17059
