symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pe_discount_pct,revenue_growth,earnings_growth,roe
GANESHBE,Ganesh Benzoplast Limited,Basic Materials,12,8,3,1,0,15.060995,38.5,0.181,-0.122,
INNOVANA,INNOVANA,Technology,12,7,3,2,0,16.450752,39.2,0.206,-0.246,
OMNI,OMNI,Industrials,12,0,10,2,0,114.83146,0.0,0.816,1.757,
FSL,Firstsource Solutions Limited,Technology,12,2,8,2,0,24.879581,0.0,0.195,0.279,0.159
KSCL,Kaveri Seed Company Limited,Basic Materials,12,7,3,2,0,15.575814,36.4,0.208,-0.071,
ADANIPOWER,Adani Power Limited,Utilities,12,1,5,5,1,33.433537,0.0,-0.001,0.916,0.20908001
GANESHCP,GANESHCP,Consumer Defensive,12,7,5,0,0,13.943732,42.1,-0.029,0.405,
KELLTONTEC,Kellton Tech Solutions Limited,Technology,12,8,4,0,0,8.710982,67.8,0.104,0.106,
BALAMINES,Balaji Amines Limited,Basic Materials,12,2,7,1,2,38.315742,0.0,0.141,0.617,0.08113
INDOTHAI,Indo Thai Securities Limited,Financial Services,12,0,5,5,2,51.003784,0.0,18.797,,0.28285998
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,12,2,5,1,4,28.32869,0.0,0.282,-0.064,0.14434
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,12,2,5,4,1,30.864855,0.0,0.265,0.036,0.15592
MITCON,MITCON Consultancy & Engineering Services Limited,Industrials,12,4,8,0,0,32.46371,0.0,0.19,2.75,
GOKULAGRO,Gokul Agro Resources Limited,Consumer Defensive,12,1,7,3,1,23.695951,0.0,0.138,1.45,0.30102
ACSTECH,ACS Technologies Limited,,12,2,10,0,0,,0.0,0.861,3.636,
ITDC,India Tourism Development Corporation Limited,Consumer Cyclical,12,0,8,1,3,59.153175,0.0,0.237,0.349,
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,12,2,6,2,2,25.063158,0.0,0.077,0.301,0.11181
EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services,12,3,8,0,1,,0.0,0.179,4.027,0.016900001
JIOFIN,Jio Financial Services Limited,Financial Services,12,3,5,2,2,97.10833,0.0,0.394,-0.14,0.012130001
KFINTECH,KFin Technologies Limited,Technology,12,0,5,5,2,40.32934,0.0,0.277,-0.05,0.22312
CONTROLPR,Control Print Limited,Industrials,12,7,2,2,1,10.182524,65.2,0.15,-0.364,
GANDHAR,Gandhar Oil Refinery (India) Limited,Energy,12,4,8,0,0,13.797607,0.0,0.161,0.672,
BHAGYANGR,Bhagyanagar India Limited,Basic Materials,12,2,10,0,0,28.000883,0.0,0.464,2.208,
MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,12,1,5,4,2,25.640013,0.0,1.523,,0.1555
PARADEEP,Paradeep Phosphates Limited,Basic Materials,12,7,5,0,0,12.561001,48.7,0.346,-0.235,
ACCELYA,Accelya Solutions India Limited,Technology,12,5,0,5,2,15.552784,42.5,-0.002,-0.569,0.39095002
BHEL,Bharat Heavy Electricals Limited,Industrials,12,0,10,0,2,86.965065,0.0,0.369,1.564,0.06292
LTM,LTM Limited,Technology,12,2,4,4,2,23.47471,0.0,0.061,0.234,0.21285
ONWARDTEC,Onward Technologies Limited,Technology,12,7,1,2,2,13.891906,48.7,0.092,-0.072,0.18552999
MWL,MWL,Basic Materials,12,2,10,0,0,24.866947,0.0,0.298,0.749,
BANKBARODA,Bank of Baroda Limited,Financial Services,12,8,1,3,0,6.812614,62.9,-0.076,0.071,0.12738
HATHWAY,Hathway Cable and Datacom Limited,Communication Services,12,6,1,0,5,22.282608,19.0,0.064,-0.696,0.01858
ORICONENT,Oricon Enterprises Limited,Consumer Cyclical,12,3,5,2,2,32.30846,0.0,-0.649,1.8,
HALEOSLABS,Haleos Labs Limited,Healthcare,12,7,5,0,0,23.80858,32.5,0.12,0.211,
GULPOLY,Gulshan Polyols Limited,Basic Materials,12,7,5,0,0,15.502852,36.7,0.028,5.074,
HITECHGEAR,The Hi-Tech Gears Limited,Consumer Cyclical,12,2,10,0,0,49.031723,0.0,0.363,1.263,
MHLXMIRU,Mahalaxmi Rubtech Limited,Consumer Cyclical,12,7,3,2,0,8.910887,67.4,0.095,0.116,
ATUL,Atul Ltd,Basic Materials,12,1,7,2,2,30.864199,0.0,0.15,0.661,0.11529
DONEAR,Donear Industries Limited,Consumer Cyclical,12,7,5,0,0,14.465331,47.1,-0.017,0.605,
EVEREADY,Eveready Industries India Limited,Industrials,12,1,6,4,1,57.75271,0.0,0.094,12.653,0.31646
NITCO,NITCO Limited,Industrials,12,5,5,0,2,3.2521124,88.9,0.511,,0.093760006
DYCL,Dynamic Cables Limited,Industrials,12,6,1,3,2,17.759516,39.3,0.073,0.026,0.20319
MONTECARLO,Monte Carlo Fashions Limited,Consumer Cyclical,12,8,4,0,0,12.361766,54.8,0.109,0.106,
J&KBANK,Jammu and Kashmir Bank Limited,Financial Services,12,8,0,4,0,6.1017737,66.8,,,0.15367
GIPCL,Gujarat Industries Power Company Limited,Utilities,12,8,2,2,0,15.475184,53.7,0.149,,
BIRLACABLE,Birla Cable Limited,Technology,12,2,10,0,0,64.10317,0.0,0.296,1.792,
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Basic Materials,12,8,1,0,3,12.122318,50.5,0.051,-0.08,
HYBRIDFIN,Hybrid Financial Services Limited,Financial Services,12,4,5,2,1,17.274336,0.0,-0.052,0.364,
CYBERTECH,CyberTech Systems and Software Limited,Technology,12,7,1,2,2,13.039736,51.8,0.093,-0.263,0.13231
METROGLOBL,MetroGlobal Limited,Industrials,12,8,0,0,4,16.18695,44.6,-0.152,,0.05468
NIBL,NRB Industrial Bearings Limited,Industrials,12,8,2,2,0,4.75,83.8,0.105,,
NUCLEUS,Nucleus Software Exports Limited,Technology,12,7,1,2,2,14.005381,48.3,0.07,-0.408,
ASIANENE,Asian Energy Services Limited,Energy,11,1,10,0,0,33.239662,0.0,1.568,1.13,
IRISDOREME,Iris Clothings Limited,Consumer Cyclical,11,0,8,1,2,46.86842,0.0,0.51,0.236,0.14455
GVPIL,GE Power India Limited,Industrials,11,0,5,5,1,36.772316,0.0,0.261,-0.311,0.71711
APTECHT,Aptech Limited,Consumer Defensive,11,3,8,0,0,21.134783,0.0,0.244,1.387,
INCREDIBLE,Incredible Industries Limited,Basic Materials,11,8,3,0,0,12.789855,47.8,0.168,-0.4,
ATL,Allcargo Terminals Limited,Industrials,11,7,4,0,0,20.459015,30.0,0.166,0.083,
GOLDIAM,Goldiam International Limited,Consumer Cyclical,11,2,7,2,0,27.100931,0.0,0.143,0.3,
BLSE,BLSE,Industrials,11,2,8,0,1,31.1329,0.0,1.199,0.241,
BCPL,BCPL Railway Infrastructure Limited,Industrials,11,8,3,0,0,17.38149,40.6,-0.287,0.19,
ALGOQUANT,Algoquant Fintech Limited,Financial Services,11,5,4,2,0,6.888502,62.5,0.051,0.16,
MEGASTAR,Megastar Foods Limited,Consumer Defensive,11,1,10,0,0,33.333332,0.0,0.523,5.775,
ARTEMISMED,Artemis Medicare Services Limited,,11,1,7,1,2,122.1834,0.0,0.141,0.287,0.11626001
INDIANCARD,The Indian Card Clothing Company Limited,Consumer Cyclical,11,8,0,2,1,4.9944406,81.7,-0.015,,
ELLEN,ELLEN,Basic Materials,11,1,8,2,0,,0.0,0.196,0.259,
EIMCOELECO,Eimco Elecon (India) Limited,Industrials,11,5,0,2,4,23.529324,19.5,0.04,-0.572,0.08608
INDRAMEDCO,Indraprastha Medical Corporation Limited,Healthcare,11,5,5,1,0,18.452082,47.7,0.144,0.249,
AARTIDRUGS,Aarti Drugs Limited,Healthcare,11,7,1,1,2,16.640272,52.8,0.065,-0.12,0.13359
AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,11,8,3,0,0,14.367888,47.4,0.115,0.062,
MOLDTKPAC,Mold-Tek Packaging Limited,Consumer Cyclical,11,1,8,1,1,34.13592,0.0,0.174,0.268,0.10976
BRIGHOTEL,BRIGHOTEL,Consumer Cyclical,11,2,5,2,2,36.267857,0.0,0.017,0.5,0.11928
HONDAPOWER,Honda India Power Products Limited,Industrials,11,3,5,0,3,30.03038,0.0,0.324,-0.127,
BHARATSE,Bharat Seats Limited,Consumer Cyclical,11,1,10,0,0,28.254843,0.0,0.603,0.306,
HEALTHX,Health X Platform Limited,Healthcare,11,4,5,0,2,34.724937,0.0,0.334,,
INDOBORAX,Indo Borax & Chemicals Limited,Basic Materials,11,5,1,2,3,19.15213,21.8,0.094,0.021,
FIBERWEB,Fiberweb (India) Limited,Consumer Cyclical,11,8,0,1,2,6.034783,77.9,-0.579,,0.055219997
BAGFILMS,B.A.G. Films and Media Limited,Communication Services,11,6,5,0,0,22.590908,17.8,0.283,-0.514,
MAZDA,Mazda Limited,Industrials,11,7,3,1,0,14.657698,49.9,0.013,0.175,
BANARBEADS,Banaras Beads Limited,Consumer Cyclical,11,3,8,0,0,40.42456,0.0,0.347,0.16,
GATEWAY,Gateway Distriparks Limited,Industrials,11,8,0,2,1,11.050782,62.2,-0.002,,0.10375
DCW,DCW Limited,Basic Materials,11,3,7,0,1,28.77914,0.0,0.132,0.564,0.04571
GULFPETRO,GP Petroleums Limited,Energy,11,8,3,0,0,6.566336,52.2,0.245,-0.214,
CROWN,Crown Lifters Limited,Industrials,11,7,1,3,0,15.605618,46.6,0.094,-0.403,0.12745
MAGADSUGAR,Magadh Sugar & Energy Limited,Consumer Defensive,11,8,3,0,0,7.6862264,68.1,0.044,0.187,
NGLFINE,NGL Fine-Chem Limited,Healthcare,11,1,10,0,0,40.98518,0.0,0.431,11.271,
KPL,Kwality Pharmaceuticals Limited,,11,0,10,1,0,,0.0,0.462,0.879,
COMSYN,Commercial Syn Bags Limited,Consumer Cyclical,11,4,7,0,0,22.57227,17.4,0.127,0.625,
IGCL,IGCL,Basic Materials,11,8,3,0,0,11.231751,54.2,0.188,-0.105,
GREENPLY,Greenply Industries Limited,Basic Materials,11,1,8,1,1,35.46025,0.0,0.196,0.861,0.10536
20MICRONS,20 Microns Limited,Basic Materials,11,8,3,0,0,9.523809,61.1,0.001,0.162,
CLSEL,Chaman Lal Setia Exports Ltd.,Consumer Defensive,11,7,4,0,0,13.248033,45.0,0.09,0.242,
CARRARO,CARRARO,Consumer Cyclical,11,1,10,0,0,28.732359,0.0,0.27,0.915,
ALPA,Alpa Laboratories Limited,Healthcare,11,8,2,1,0,12.817029,63.7,0.111,-0.787,
DCI,DC Infotech and Communication Limited,Technology,11,1,10,0,0,23.804348,0.0,0.461,0.558,
JNKINDIA,JNK India Limited,Industrials,11,1,10,0,0,40.139904,0.0,1.167,5.373,
AVAILFC,Available Finance Limited,,11,3,6,2,0,,0.0,0.065,0.33,
INDIANHUME,The Indian Hume Pipe Company Limited,Industrials,11,8,0,1,2,2.6860385,90.8,-0.076,-0.954,0.09864
IKS,IKS,Healthcare,11,1,8,2,0,37.73179,0.0,0.24,0.412,
AADHARHFC,AADHARHFC,Financial Services,11,3,6,2,0,18.723274,0.0,0.2,0.173,
NAUKRI,Info Edge (India) Limited,Communication Services,11,3,4,2,2,44.64165,0.0,0.134,0.123,
ABBOTINDIA,Abbott India Limited,Healthcare,11,1,3,5,2,38.31439,0.0,0.113,0.076,0.34460998
KEI,KEI Industries Limited,Industrials,11,0,8,1,2,53.190937,0.0,0.187,0.255,0.14753
NLCINDIA,NLC India Limited,Utilities,11,7,0,4,0,19.384613,42.0,-0.003,-0.127,0.15966
ENDURANCE,Endurance Technologies Limited,Consumer Cyclical,11,0,7,2,2,37.733196,0.0,0.379,0.127,0.15156999
NIRLON,Nirlon Limited,Real Estate,11,5,4,2,0,16.393915,35.5,0.053,0.189,
MANAPPURAM,Manappuram Finance Limited,Financial Services,11,2,5,2,2,26.255339,0.0,1.093,,0.06968
NIACL,The New India Assurance Company Limited,Financial Services,11,4,7,0,0,19.278036,0.0,0.139,0.61,0.03421
CDSL,Central Depository Services (India) Limited,Financial Services,11,0,1,5,5,54.33608,0.0,0.055,-0.201,0.23913
AEGISVOPAK,AEGISVOPAK,Energy,11,1,8,2,0,158.176,0.0,0.223,0.436,
NEULANDLAB,Neuland Laboratories Limited,Healthcare,11,0,10,0,1,58.479324,0.0,1.364,6.649,
CAMS,Computer Age Management Services Limited,Technology,11,0,4,5,2,40.98275,0.0,0.11,0.106,0.38694
IDBI,IDBI Bank Limited,Financial Services,11,8,0,3,0,8.145833,55.7,,,0.14152999
CHALET,Chalet Hotels Limited,Consumer Cyclical,11,1,6,4,0,26.670633,0.0,0.085,0.313,0.19132
FRACTAL,FRACTAL,Technology,11,0,8,1,2,54.65116,0.0,0.17,1.064,0.115839995
ANURAS,Anupam Rasayan India Ltd,Basic Materials,11,1,10,0,0,89.29267,0.0,0.313,0.677,
NIVABUPA,Niva Bupa Health Insurance Company Limited,Financial Services,11,1,10,0,0,112.43662,0.0,0.658,1.678,0.07958
IGIL,International Gemological Institute Limited,Basic Materials,11,1,3,5,2,27.542158,0.0,-0.3,0.231,0.43001997
IIFLCAPS,IIFL Capital Services Limited,Financial Services,11,2,2,5,2,20.07904,0.0,0.12,-0.111,0.20198
LATENTVIEW,Latent View Analytics Limited,Industrials,11,2,6,2,1,32.03858,0.0,0.22,0.198,
AMAGI,AMAGI,Technology,11,3,8,0,0,2528.125,0.0,0.224,2.775,
KENNAMET,Kennametal India Limited,Industrials,11,0,5,1,5,46.29283,0.0,0.164,0.102,0.14094
63MOONS,63 moons technologies limited,Technology,11,3,5,0,3,,0.0,1.281,,
GPPL,Gujarat Pipavav Port Limited,Industrials,11,6,3,2,0,15.059821,48.5,0.112,0.083,
FEDERALBNK,The Federal Bank Limited,Financial Services,11,3,5,3,0,16.101889,0.0,0.123,0.222,0.11731
NEWGEN,Newgen Software Technologies Limited,Technology,11,4,1,4,2,22.373281,17.3,0.053,-0.009,0.18250999
BEL,Bharat Electronics Limited,Industrials,11,0,6,2,3,51.79095,0.0,0.24,0.207,
CMSINFO,CMS Info Systems Limited,Industrials,11,7,0,2,2,16.58183,43.3,0.038,-0.181,0.12913
KECL,Kirloskar Electric Company Limited,Industrials,10,0,10,0,0,71.80625,0.0,0.264,5.889,
NEXTMEDIA,Next Mediaworks Limited,Communication Services,10,8,0,2,0,0.41884816,98.5,,,
ANDHRAPAP,Andhra Paper Limited,Basic Materials,10,3,5,0,2,69.30851,0.0,0.499,-0.0,0.0095999995
BETA,BETA,Healthcare,10,5,0,3,2,19.87965,43.6,-0.009,-0.05,0.18776
GODREJAGRO,Godrej Agrovet Limited,Consumer Defensive,10,1,7,2,0,23.19829,0.0,0.119,0.482,0.18681
LUMAXTECH,Lumax Auto Technologies Limited,Consumer Cyclical,10,0,10,0,0,44.83694,0.0,0.403,0.839,
ARIS,Arisinfra Solutions Limited,Industrials,10,2,5,1,2,35.72798,0.0,0.553,,0.12219
ATLANTAELE,ATLANTAELE,Industrials,10,0,10,0,0,63.7022,0.0,0.797,4.176,
JARO,JARO,Consumer Defensive,10,3,1,4,2,21.325623,0.0,0.096,0.039,0.19894
BOROSCI,Borosil Scientific Limited,Consumer Cyclical,10,2,8,0,0,65.43094,0.0,0.196,1.042,
AMIRCHAND,AMIRCHAND,Consumer Defensive,10,3,7,0,0,22.177172,0.0,0.15,0.871,
IZMO,IZMO Limited,Technology,10,3,5,2,0,26.451614,0.0,0.008,0.924,
HARIOMPIPE,Hariom Pipe Industries Limited,Basic Materials,10,7,3,0,0,15.216962,37.9,0.21,0.03,
MGL,Mahanagar Gas Limited,Utilities,10,7,2,1,0,12.771254,61.8,0.115,-0.091,
ESTER,Ester Industries Limited,Basic Materials,10,3,6,0,1,,0.0,0.081,2.857,-0.03533
JINDALSAW,Jindal Saw Limited,Basic Materials,10,8,0,0,2,15.042023,38.6,-0.082,-0.522,0.07964
AETHER,Aether Industries Limited,Basic Materials,10,0,6,2,2,68.48429,0.0,0.307,0.078,0.09375
ABANSENT,ABans Enterprises Limited,,10,3,5,0,2,,0.0,2.298,,0.018760001
MUNJALAU,Munjal Auto Industries Limited,Consumer Cyclical,10,7,3,0,0,18.362705,32.8,0.16,,
MATRIMONY,Matrimony.com Limited,Communication Services,10,2,5,2,1,28.247526,0.0,0.125,0.212,0.15252
CCL,CCL Products (India) Limited,Consumer Defensive,10,0,7,2,1,38.30817,0.0,0.464,0.124,0.18002
HEADSUP,Heads UP Ventures Limited,Consumer Cyclical,10,8,0,2,0,3.9210527,85.6,,,
ECOSMOBLTY,ECOSMOBLTY,Industrials,10,6,4,0,0,13.420422,54.1,0.225,0.089,
GTL,GTL Limited,Communication Services,10,3,5,2,0,,0.0,-0.153,54.087,
FEDDERSHOL,Fedders Holding Limited,,10,3,5,2,0,,0.0,-0.102,5.741,
DOLATALGO,Dolat Algotech Limited,Financial Services,10,8,0,2,0,11.161849,39.3,-0.08,0.042,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Healthcare,10,1,4,3,2,32.679874,0.0,0.096,0.238,0.16695
IXIGO,IXIGO,Consumer Cyclical,10,0,10,0,0,117.46099,0.0,0.314,0.436,
DYNAMATECH,Dynamatic Technologies Limited,Consumer Cyclical,10,0,10,0,0,204.06767,0.0,0.347,0.635,
DRAGARWQ,Dr. Agarwal's Eye Hospital Limited,,10,0,8,2,0,,0.0,0.222,0.616,
HAWKINCOOK,Hawkins Cookers Limited,Consumer Cyclical,10,1,8,1,0,30.120989,0.0,0.162,0.581,
ADVAIT,Advait Energy Transitions Limited,Industrials,10,0,10,0,0,45.868465,0.0,1.144,0.654,
GMBREW,G.M. Breweries Limited,Consumer Defensive,10,7,0,2,1,12.902638,46.4,,-0.106,0.15552
EPACKPEB,EPACKPEB,Industrials,10,5,5,0,0,24.441463,16.4,0.221,0.135,
CAPACITE,Capacit'e Infraprojects Limited,Industrials,10,8,2,0,0,9.72712,66.7,0.144,-0.034,
LAOPALA,La Opala RG Limited,Consumer Cyclical,10,7,0,2,1,18.802402,31.2,-0.074,0.033,
HALDYNGL,Haldyn Glass Limited,,10,2,8,0,0,,0.0,0.214,0.311,
FILATEX,Filatex India Limited,Consumer Cyclical,10,7,3,0,0,10.261501,62.4,-0.018,0.17,
AXISCADES,AXISCADES Technologies Limited,Industrials,10,0,10,0,0,86.193474,0.0,0.252,0.887,
AVALON,Avalon Technologies Limited,Technology,10,0,10,0,0,78.75595,0.0,0.487,0.358,
JINDRILL,Jindal Drilling & Industries Limited,Energy,10,8,0,2,0,7.122751,48.2,0.009,,
MAJESAUT,Majestic Auto Limited,Real Estate,10,8,0,2,0,3.6709926,85.6,-0.803,,
KTKBANK,The Karnataka Bank Limited,Financial Services,10,8,0,2,0,8.063565,56.1,-0.008,0.025,
INTELLECT,Intellect Design Arena Limited,Technology,10,3,3,2,2,28.24352,0.0,0.167,-0.113,0.11411
MCLOUD,Magellanic Cloud Limited,Technology,10,7,1,2,0,13.653846,49.6,0.083,-0.01,
ATULAUTO,Atul Auto Limited,Consumer Cyclical,10,0,10,0,0,39.384033,0.0,0.253,0.561,
AQYLON,Aqylon Nexus Limited,Communication Services,10,3,5,2,0,244.60869,0.0,1.802,,
NAVKARCORP,Navkar Corporation Limited,Industrials,10,3,5,0,2,47.05,0.0,0.945,,0.01551
ACMESOLAR,ACMESOLAR,Utilities,10,2,3,3,2,33.78213,0.0,0.125,0.063,0.10406
CONSOFINVT,Consolidated Finvest & Holdings Limited,Financial Services,10,8,0,2,0,11.401329,38.0,-0.214,-0.214,
KRIDHANINF,Kridhan Infra Limited,Basic Materials,10,8,0,2,0,4.220588,82.8,,,
LENSKART,LENSKART,Healthcare,10,0,10,0,0,136.80757,0.0,0.383,76.0,
INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical,10,0,4,4,2,44.85646,0.0,0.145,0.147,0.16430001
GENUSPAPER,Genus Paper & Boards Limited,Basic Materials,10,3,7,0,0,34.81081,0.0,0.115,4.5,
NILAINFRA,Nila Infrastructures Limited,Real Estate,10,7,1,1,1,14.224138,44.0,-0.285,0.075,0.13249
BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,10,2,8,0,0,33.080685,0.0,0.154,0.95,
NATHBIOGEN,Nath Bio-Genes (India) Limited,Basic Materials,10,8,0,0,2,7.670162,68.7,-0.01,,0.06285
NURECA,Nureca Limited,Healthcare,10,5,5,0,0,24.75068,29.8,0.498,,
CORDSCABLE,Cords Cable Industries Limited,Industrials,10,8,2,0,0,15.4107685,47.3,0.147,0.047,
IVC,IL&FS Investment Managers Limited,Financial Services,10,8,0,2,0,12.557377,31.7,-0.376,,
IRCTC,Indian Railway Catering & Tourism Corporation Limited,Consumer Cyclical,10,1,6,2,1,30.126474,0.0,0.184,0.157,
LODHA,Lodha Developers Limited,Real Estate,10,2,2,4,2,24.81606,0.0,0.076,0.094,0.1571
CPCAP,CP Capital Limited,Financial Services,10,8,0,2,0,4.1787877,77.3,-0.257,-0.06,
CIEINDIA,CIE Automotive India Limited,Consumer Cyclical,10,5,5,0,0,20.199474,26.1,0.149,0.208,
BRNL,Bharat Road Network Limited,Industrials,10,8,0,2,0,6.1550155,78.9,-0.119,-0.847,
DEVIT,Dev Information Technology Limited,Technology,10,8,0,2,0,2.4159665,91.1,-0.075,,
AMJLAND,AMJ Land Holdings Limited,Real Estate,10,8,0,2,0,7.8770485,69.0,-0.206,-0.418,
BHARTIHEXA,BHARTIHEXA,Communication Services,10,0,5,5,0,45.04902,0.0,0.048,0.814,0.28811002
NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,10,0,10,0,0,555.91833,0.0,0.267,1.444,
BERGEPAINT,Berger Paints India Limited,Basic Materials,10,0,6,2,2,55.22257,0.0,0.061,0.277,0.17226
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Financial Services,10,8,0,2,0,2.9534342,83.9,-0.598,,
LATTEYS,Latteys Industries Limited,Industrials,10,0,10,0,0,79.32258,0.0,0.95,3.0,
BROOKS,Brooks Laboratories Limited,Healthcare,10,8,0,2,0,6.341497,82.0,-0.569,,
BHANDARI,Bhandari Hosiery Exports Limited,Consumer Cyclical,10,8,2,0,0,11.290322,58.7,-0.062,0.125,
HILINFRA,HILINFRA,Industrials,10,7,3,0,0,10.171429,65.2,-0.092,0.185,
MOLDTECH,Mold-Tek Technologies Limited,Industrials,10,3,5,0,2,31.316582,0.0,0.975,,0.08211
MANAKSIA,Manaksia Limited,Industrials,10,8,2,0,0,7.6486144,73.8,-0.021,0.138,
MAWANASUG,Mawana Sugars Limited,Consumer Defensive,10,8,1,0,1,11.710239,51.4,0.097,-0.946,
OSWALAGRO,Oswal Agro Mills Limited,Real Estate,10,8,0,2,0,7.1916537,71.7,-1.0,-0.902,
ICICIAMC,ICICIAMC,Financial Services,10,0,3,5,2,47.848064,0.0,0.082,0.104,0.85802
JAINREC,JAINREC,Basic Materials,10,0,10,0,0,56.501995,0.0,0.558,1.232,
CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,10,0,10,0,0,52.630764,0.0,0.305,7.284,
LEXUS,Lexus Granito (India) Limited,Industrials,10,5,5,0,0,22.964287,21.5,-0.283,5.0,
MANBA,MANBA,Financial Services,10,6,2,2,0,13.352382,27.4,0.149,0.008,
GOLDENTOBC,Golden Tobacco Limited,Consumer Defensive,10,8,0,2,0,13.98901,41.9,-0.184,,
BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited,Healthcare,10,7,0,0,3,19.199999,45.6,-0.934,-0.5,
MTARTECH,MTAR Technologies Limited,Industrials,10,0,10,0,0,238.11719,0.0,0.593,1.173,
BALKRISHNA,Balkrishna Paper Mills Limited,Consumer Cyclical,10,3,5,2,0,,0.0,1.618,,
MSUMI,Motherson Sumi Wiring India Limited,Consumer Cyclical,10,0,5,3,2,42.62766,0.0,0.331,0.015,0.32393003
GLOBUSSPR,Globus Spirits Limited,Consumer Defensive,10,2,8,0,0,475.42105,0.0,0.191,74.071,
LALPATHLAB,Dr. Lal PathLabs Limited,Healthcare,10,0,3,5,2,50.75681,0.0,0.166,-0.154,0.21475
KOTYARK,KOTYARK,Basic Materials,10,2,5,1,2,24.50685,0.0,0.394,,0.118999995
FORCEMOT,Force Motors Limited,Consumer Cyclical,10,3,1,4,2,19.607767,28.2,0.082,-0.37,0.33508
GATECHDVR,GACM Technologies Limited,Financial Services,10,8,0,2,0,6.375,65.3,0.016,-0.636,
MARICO,Marico Limited,Consumer Defensive,10,0,5,4,1,61.713135,0.0,0.221,0.145,0.41393003
CPPLUS,CPPLUS,Industrials,10,0,10,0,0,113.61457,0.0,0.373,1.235,
GOKUL,Gokul Refoils & Solvent Limited,Consumer Defensive,10,4,6,0,0,22.010256,0.0,0.068,7.983,
GATECH,GACM Technologies Limited,Financial Services,10,8,0,2,0,6.7500005,63.3,0.016,-0.636,
ORBTEXP,Orbit Exports Limited,Consumer Cyclical,10,8,0,2,0,11.108876,59.3,0.044,-0.004,
MBAPL,Madhya Bharat Agro Products Limited,Basic Materials,10,0,10,0,0,44.832497,0.0,1.158,0.775,
PANACHE,Panache Digilife Limited,Technology,10,0,10,0,0,64.945946,0.0,2.578,1.022,
JAMNAAUTO,Jamna Auto Industries Limited,Consumer Cyclical,10,2,8,0,0,23.956701,0.0,0.187,0.327,
JSFB,Jana Small Finance Bank Limited,Financial Services,10,4,5,1,0,15.874839,0.0,0.176,0.129,0.076009996
KOVAI,Kovai Medical Center and Hospital Limited,Healthcare,10,4,4,2,0,25.189121,28.6,0.146,0.125,
MANINDS,Man Industries (India) Limited,Basic Materials,10,3,7,0,0,21.23389,0.0,0.134,0.455,
MAHLOG,Mahindra Logistics Limited,Industrials,10,1,8,0,1,1444.2,0.0,0.201,0.289,0.01279
GRMOVER,GRM Overseas Limited,Consumer Defensive,10,0,10,0,0,53.69497,0.0,0.3,0.272,
BANSALWIRE,BANSALWIRE,Basic Materials,10,1,6,1,2,29.595911,0.0,0.209,0.209,0.11923
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Consumer Defensive,10,8,0,0,2,11.751975,51.2,-0.027,-0.498,0.07285
MARATHON,Marathon Nextgen Realty Limited,Real Estate,10,8,0,2,0,13.227397,48.0,0.013,-0.493,
HIRECT,Hind Rectifiers Limited,Industrials,10,0,10,0,0,64.5092,0.0,0.642,0.297,
HGINFRA,H.G. Infra Engineering Limited,Industrials,10,8,2,0,0,10.039881,65.7,0.124,-0.182,
BUILDPRO,Shankara Buildpro Limited,Consumer Cyclical,10,0,10,0,0,,0.0,0.291,0.388,
MAITHANALL,Maithan Alloys Limited,Basic Materials,10,8,0,2,0,6.5615554,73.2,-0.077,-0.021,
AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,10,7,3,0,0,19.922247,31.9,0.114,0.092,
INNOVACAP,Innova Captab Limited,Healthcare,10,2,8,0,0,34.847748,0.0,0.423,0.235,
KNRCON,KNR Constructions Limited,Industrials,10,8,0,2,0,7.7534413,73.5,-0.124,-0.586,
KNAGRI,KNAGRI,Consumer Defensive,9,8,1,0,0,13.194822,45.2,0.079,-0.263,
HMVL,Hindustan Media Ventures Limited,Communication Services,9,8,1,0,0,7.079646,74.3,0.075,-0.951,
GLOBE,Globe Enterprises (India) Limited,Consumer Cyclical,9,8,1,0,0,15.125001,44.6,0.052,-0.561,
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,9,5,0,2,2,26.527088,24.8,-0.116,-0.862,0.11835
HITECH,Hi-Tech Pipes Limited,Basic Materials,9,4,5,0,0,22.686327,0.0,0.405,-0.222,
INDOTECH,Indo Tech Transformers Limited,Industrials,9,1,7,1,0,30.770506,0.0,0.107,0.292,
