symbol,technical_score,trend_score,momentum_score,sr_score,volume_score,price_vs_50ma,pct_above_50ma,price_vs_200ma,pct_above_200ma,ma_cross,trend_strength,momentum_20d_pct,trend_total,rsi_score,rsi_value,macd_score,macd_position,stochastic_score,stochastic_k,momentum_total,sr_high_score,dist_from_52w_high_pct,sr_low_score,dist_from_52w_low_pct,breakout_score,sr_total,volume_trend_score,volume_trend_pct,volume_spike_score,volume_spike_pct,volume_total,current_price,sma_50,sma_200,rsi
HINDOILEXP,15.5,7.0,5,3.5,0.0,3,14.9,2,9.6,0,2.0,11.1,7.0,1,65.5,2,bullish,2,67.9,5,2.0,12.9,1.5,44.0,0,3.5,0,-49.9,0.0,-6.8,0.0,169.19,147.27,154.35,65.5
JINDALSAW,15.5,8.0,4,3.5,0.0,3,9.3,3,19.3,2,0.0,-4.6,8.0,2,38.0,0,bearish,2,33.2,4,2.0,12.0,1.5,49.7,0,3.5,0,-59.0,0.0,-60.5,0.0,229.09,209.58,191.99,38.0
MACPOWER,15.5,8.0,4,3.5,0.0,3,6.9,3,16.8,2,0.0,-2.9,8.0,3,42.8,0,bearish,1,7.0,4,2.0,12.9,1.5,43.0,0,3.5,0,-4.2,0.0,-46.9,0.0,1088.3,1018.12,931.71,42.8
JARO,15.5,4.5,6,2.0,3.0,3,10.1,0,,0,1.5,9.1,4.5,1,67.4,3,bullish,2,63.9,6,1.0,46.1,1.0,25.0,0,2.0,3,46.9,0.0,-54.5,3.0,479.4,435.39,,67.4
MOTILALOFS,15.5,5.0,5,3.5,2.0,3,11.7,1,-1.3,0,1.0,4.4,5.0,2,63.1,0,bearish,3,55.3,5,2.0,22.5,1.5,37.1,0,3.5,2,18.9,0.0,-60.7,2.0,843.3,755.2,854.83,63.1
BEML,15.5,5.0,5,3.5,2.0,3,6.9,1,-4.2,0,1.0,2.5,5.0,4,47.1,0,bearish,1,6.6,5,2.0,26.5,1.5,32.0,0,3.5,2,14.1,0.0,-59.3,2.0,1788.1,1673.04,1866.85,47.1
DIGJAMLMTD,15.5,4.0,5,3.5,3.0,3,6.0,1,-4.2,0,0.0,-1.6,4.0,3,42.8,0,bearish,2,38.0,5,2.0,22.0,1.5,42.0,0,3.5,3,71.2,0.0,-87.6,3.0,46.63,43.99,48.68,42.8
JBMA,15.5,6.0,6,3.5,0.0,3,9.5,2,4.6,0,1.0,4.2,6.0,4,54.0,0,bearish,2,30.5,6,2.0,18.8,1.5,34.5,0,3.5,0,-47.1,0.0,-64.8,0.0,641.6,586.09,613.39,54.0
GABRIEL,15.5,6.5,3,4.0,2.0,3,14.0,2,3.0,0,1.5,7.2,6.5,0,71.8,0,bearish,3,58.6,3,2.0,21.3,2.0,88.2,0,4.0,2,18.4,0.0,-67.5,2.0,1091.0,957.38,1059.61,71.8
EUREKAFORB,15.5,5.5,7,3.0,0.0,3,7.3,1,-6.5,0,1.5,6.3,5.5,4,50.6,0,bearish,3,42.1,7,2.0,23.4,1.0,26.9,0,3.0,0,-27.1,0.0,-43.5,0.0,511.8,476.8,547.2,50.6
JUBLPHARMA,15.5,5.5,7,3.0,0.0,3,11.1,1,-3.1,0,1.5,8.7,5.5,2,63.2,3,bullish,2,63.9,7,2.0,20.7,1.0,26.0,0,3.0,0,-31.2,0.0,-49.7,0.0,990.15,891.02,1021.83,63.2
DELHIVERY,15.5,7.0,2,3.0,3.5,3,6.9,2,8.1,1,1.0,2.4,7.0,2,60.4,0,bearish,0,70.3,2,1.5,2.9,1.5,48.6,0,3.0,2,16.1,1.5,91.8,3.5,475.75,445.17,440.16,60.4
EASEMYTRIP,15.5,6.0,7,2.5,0.0,3,6.4,2,0.4,0,1.0,2.2,6.0,4,49.8,0,bearish,3,53.4,7,1.0,36.7,1.5,37.1,0,2.5,0,-35.0,0.0,-21.6,0.0,7.91,7.43,7.88,49.8
BANSWRAS,15.5,6.5,6,3.0,0.0,3,6.4,2,0.9,0,1.5,5.2,6.5,4,52.0,0,bearish,2,31.7,6,2.0,26.7,1.0,28.5,0,3.0,0,-18.0,0.0,-30.4,0.0,120.44,113.19,119.33,52.0
KTKBANK,15.5,8.0,4,3.5,0.0,2,3.0,3,23.6,2,1.0,0.2,8.0,3,42.2,0,bearish,1,7.6,4,2.0,10.6,1.5,49.6,0,3.5,0,-35.6,0.0,-46.3,0.0,246.1,238.92,199.06,42.2
AMAGI,15.5,5.0,4,3.5,3.0,3,8.3,0,,0,2.0,10.1,5.0,2,61.6,0,bearish,2,36.8,4,2.0,10.3,1.5,30.4,0,3.5,3,23.6,0.0,-85.7,3.0,404.5,373.43,,61.6
NURECA,15.5,6.0,6,3.5,0.0,3,5.2,2,2.4,0,1.0,3.5,6.0,4,52.7,0,bearish,2,34.2,6,2.0,20.4,1.5,33.8,0,3.5,0,-16.2,0.0,-66.0,0.0,273.0,259.48,266.71,52.7
LIBAS,15.5,6.0,6,3.5,0.0,3,8.8,2,5.0,0,1.0,0.7,6.0,4,47.5,0,bearish,2,33.3,6,2.0,23.6,1.5,33.0,0,3.5,0,-25.1,0.0,-59.4,0.0,12.0,11.03,11.43,47.5
ALKEM,15.5,4.0,9,2.5,0.0,2,1.1,2,0.5,0,0.0,-2.8,4.0,3,58.5,3,bullish,3,51.0,9,1.5,6.8,1.0,17.5,0,2.5,0,-10.1,0.0,-35.1,0.0,5486.0,5427.28,5457.47,58.5
LINDEINDIA,15.5,8.0,5,2.5,0.0,2,2.4,3,14.2,2,1.0,4.1,8.0,4,54.6,0,bearish,1,18.5,5,1.5,8.7,1.0,29.6,0,2.5,0,-9.2,0.0,-65.2,0.0,7352.0,7181.63,6438.58,54.6
IRMENERGY,15.0,7.0,1,4.0,3.0,3,18.3,2,3.5,0,2.0,34.4,7.0,0,28.4,0,bearish,1,3.8,1,2.0,27.1,2.0,73.2,0,4.0,3,144.0,0.0,-95.6,3.0,286.45,242.19,276.7,28.4
APTUS,15.0,5.5,6,3.5,0.0,3,12.7,1,-5.7,0,1.5,8.9,5.5,4,54.9,0,bearish,2,31.6,6,2.0,26.2,1.5,38.3,0,3.5,0,-6.9,0.0,-68.3,0.0,264.45,234.55,280.43,54.9
GANESHHOU,15.0,4.5,7,3.5,0.0,3,9.2,0,,0,1.5,7.0,4.5,2,60.3,2,bullish,3,46.7,7,2.0,23.8,1.5,37.1,0,3.5,0,-15.1,0.0,-67.3,0.0,685.5,627.99,,60.3
EMMVEE,15.0,3.0,5,4.0,3.0,3,8.3,0,,0,0.0,-1.2,3.0,4,47.2,0,bearish,1,8.1,5,2.0,13.9,2.0,50.4,0,4.0,3,47.4,0.0,-72.5,3.0,258.0,238.28,,47.2
KAMDHENU,15.0,6.0,6,3.0,0.0,3,11.6,1,-1.0,0,2.0,13.9,6.0,1,66.7,2,bullish,3,46.9,6,1.0,30.3,2.0,53.9,0,3.0,0,-3.3,0.0,-25.1,0.0,24.85,22.26,25.11,66.7
