symbol,technical_score,trend_score,momentum_score,sr_score,volume_score,price_vs_50ma,pct_above_50ma,price_vs_200ma,pct_above_200ma,ma_cross,trend_strength,momentum_20d_pct,trend_total,rsi_score,rsi_value,macd_score,macd_position,stochastic_score,stochastic_k,momentum_total,sr_high_score,dist_from_52w_high_pct,sr_low_score,dist_from_52w_low_pct,breakout_score,sr_total,volume_trend_score,volume_trend_pct,volume_spike_score,volume_spike_pct,volume_total,current_price,sma_50,sma_200,rsi
TDPOWERSYS,26.0,10.0,8,3.5,4.5,3,26.2,3,67.1,2,2.0,18.2,10.0,2,62.6,3,bullish,3,55.6,8,1.5,7.7,2.0,178.0,0,3.5,3,29.1,1.5,87.4,4.5,1256.3,995.61,751.66,62.6
MTARTECH,25.0,10.0,8,4.0,3.0,3,40.9,3,130.5,2,2.0,29.0,10.0,2,63.3,3,bullish,3,54.7,8,2.0,11.9,2.0,389.8,0,4.0,3,53.4,0.0,-12.2,3.0,6810.0,4832.23,2954.98,63.3
NLCINDIA,23.5,10.0,7,3.5,3.0,3,23.2,3,37.7,2,2.0,19.0,10.0,2,64.2,3,bullish,2,63.9,7,1.5,7.6,2.0,65.6,0,3.5,3,48.8,0.0,-11.4,3.0,358.35,290.94,260.32,64.2
STAR,23.5,10.0,5,3.5,5.0,3,15.1,3,26.9,2,2.0,15.1,10.0,0,78.9,3,bullish,2,63.8,5,1.5,6.3,2.0,75.6,0,3.5,3,29.7,2.0,208.3,5.0,1153.6,1002.29,908.85,78.9
STAR,23.5,10.0,5,3.5,5.0,3,15.1,3,26.9,2,2.0,15.1,10.0,0,78.9,3,bullish,2,63.8,5,1.5,6.3,2.0,75.6,0,3.5,3,29.7,2.0,208.3,5.0,1153.6,1002.29,908.85,78.9
WALCHANNAG,23.0,9.0,7,4.0,3.0,3,24.0,3,30.1,1,2.0,10.6,9.0,4,49.1,0,bearish,3,40.6,7,2.0,14.9,2.0,80.3,0,4.0,3,46.4,0.0,-49.0,3.0,236.49,190.69,181.81,49.1
HINDCOPPER,23.0,9.0,10,4.0,0.0,3,6.9,3,33.8,2,1.0,2.3,9.0,4,54.0,3,bullish,3,45.9,10,2.0,25.0,2.0,157.6,0,4.0,0,-25.5,0.0,-30.3,0.0,569.5,532.67,425.64,54.0
SCHNEIDER,22.5,10.0,7,3.5,2.0,3,17.8,3,43.5,2,2.0,12.0,10.0,4,54.6,0,bearish,3,41.6,7,1.5,9.1,2.0,117.7,0,3.5,2,19.8,0.0,-22.4,2.0,1244.7,1056.98,867.48,54.6
OIL,22.5,9.5,9,3.0,1.0,3,5.2,3,15.5,2,1.5,6.8,9.5,4,53.4,3,bullish,2,64.6,9,1.5,5.5,1.5,34.0,0,3.0,1,9.0,0.0,-76.0,1.0,501.7,477.1,434.54,53.4
OIL,22.5,9.5,9,3.0,1.0,3,5.2,3,15.5,2,1.5,6.8,9.5,4,53.4,3,bullish,2,64.6,9,1.5,5.5,1.5,34.0,0,3.0,1,9.0,0.0,-76.0,1.0,501.7,477.1,434.54,53.4
GRAPHITE,22.5,9.0,10,3.5,0.0,3,10.5,3,23.3,2,1.0,0.9,9.0,4,51.8,3,bullish,3,50.7,10,1.5,6.8,2.0,56.5,0,3.5,0,-8.1,0.0,-22.4,0.0,748.0,676.88,606.6,51.8
GESHIP,22.5,10.0,4,3.5,5.0,3,17.4,3,46.2,2,2.0,18.4,10.0,1,65.5,3,bullish,0,75.6,4,1.5,4.6,2.0,93.8,0,3.5,3,72.4,2.0,224.2,5.0,1715.9,1460.99,1174.0,65.5
WELCORP,22.5,10.0,6,3.5,3.0,3,23.5,3,43.9,2,2.0,12.4,10.0,4,52.4,0,bearish,2,33.9,6,1.5,7.0,2.0,80.4,0,3.5,3,35.9,0.0,-37.9,3.0,1280.7,1036.78,890.19,52.4
USHAMART,22.0,8.5,7,3.5,3.0,3,8.0,3,10.1,1,1.5,5.6,8.5,4,53.7,0,bearish,3,54.2,7,1.5,5.5,2.0,56.7,0,3.5,3,63.6,0.0,-75.5,3.0,469.95,435.07,426.77,53.7
VISAKAIND,21.5,7.0,7,3.5,4.0,3,15.4,2,2.5,0,2.0,13.0,7.0,2,63.2,2,bullish,3,51.7,7,2.0,25.0,1.5,46.6,0,3.5,2,15.3,2.0,157.5,4.0,73.61,63.8,71.8,63.2
CARBORUNIV,21.0,9.0,6,3.0,3.0,3,20.7,3,22.1,1,2.0,14.3,9.0,1,68.3,3,bullish,2,60.2,6,1.5,7.7,1.5,46.4,0,3.0,3,30.4,0.0,-52.0,3.0,1076.2,891.62,881.52,68.3
SPARC,21.0,9.0,3,4.0,5.0,3,29.5,3,30.9,1,2.0,25.2,9.0,0,70.0,3,bullish,0,80.8,3,2.0,12.0,2.0,66.5,0,4.0,3,62.3,2.0,645.0,5.0,179.77,138.84,137.33,70.0
GODREJIND,21.0,7.0,7,4.0,3.0,3,20.6,2,8.3,0,2.0,20.2,7.0,1,65.4,3,bullish,3,59.4,7,2.0,18.4,2.0,52.4,0,4.0,3,62.6,0.0,-79.7,3.0,1134.1,940.14,1047.6,65.4
THYROCARE,21.0,8.0,6,4.0,3.0,3,17.6,3,10.3,0,2.0,19.0,8.0,0,72.4,3,bullish,3,56.8,6,2.0,12.3,2.0,65.0,0,4.0,3,70.4,0.0,-30.6,3.0,470.65,400.18,426.76,72.4
THERMAX,21.0,9.5,5,3.5,3.0,3,17.7,3,34.6,2,1.5,9.0,9.5,2,64.9,0,bearish,3,51.6,5,1.5,9.5,2.0,61.0,0,3.5,3,26.8,0.0,-59.7,3.0,4416.6,3751.13,3280.73,64.9
RAIN,21.0,8.0,6,4.0,3.0,3,21.0,3,14.3,0,2.0,15.7,8.0,1,67.1,3,bullish,2,64.4,6,2.0,12.8,2.0,53.7,0,4.0,3,49.6,0.0,-73.6,3.0,153.51,126.82,134.27,67.1
RAIN,21.0,8.0,6,4.0,3.0,3,21.0,3,14.3,0,2.0,15.7,8.0,1,67.1,3,bullish,2,64.4,6,2.0,12.8,2.0,53.7,0,4.0,3,49.6,0.0,-73.6,3.0,153.51,126.82,134.27,67.1
CROMPTON,20.5,7.0,7,3.5,3.0,3,13.9,2,7.0,0,2.0,12.3,7.0,2,62.6,3,bullish,2,62.0,7,2.0,18.3,1.5,35.1,0,3.5,3,57.1,0.0,-56.8,3.0,293.6,257.69,274.5,62.6
TATACONSUM,20.5,6.0,9,2.5,3.0,3,8.0,2,6.7,0,1.0,2.7,6.0,3,59.0,3,bullish,3,51.2,9,1.5,5.6,1.0,20.2,0,2.5,3,34.7,0.0,-20.5,3.0,1210.9,1120.7,1134.94,59.0
HINDZINC,20.5,9.5,5,4.0,2.0,3,10.5,3,19.7,2,1.5,6.5,9.5,2,61.7,0,bearish,3,51.9,5,2.0,12.1,2.0,55.8,0,4.0,2,15.8,0.0,-54.6,2.0,632.6,572.54,528.49,61.7
KIRLOSENG,20.5,9.0,7,3.5,1.0,3,7.6,3,39.8,2,1.0,1.2,9.0,4,46.3,0,bearish,3,52.0,7,1.5,6.5,2.0,102.3,0,3.5,0,-2.4,1.0,46.2,1.0,1660.3,1542.81,1187.76,46.3
CROMPTON,20.5,7.0,7,3.5,3.0,3,13.9,2,7.0,0,2.0,12.3,7.0,2,62.6,3,bullish,2,62.0,7,2.0,18.3,1.5,35.1,0,3.5,3,57.1,0.0,-56.8,3.0,293.6,257.69,274.5,62.6
RESPONIND,20.0,4.5,8,2.5,5.0,3,6.9,0,-10.5,0,1.5,7.7,4.5,4,54.5,2,bullish,2,31.2,8,1.0,34.1,1.5,41.1,0,2.5,3,33.7,2.0,309.4,5.0,165.42,154.71,184.73,54.5
GNFC,20.0,8.0,3,4.0,5.0,3,21.5,3,13.5,0,2.0,11.8,8.0,0,72.9,3,bullish,0,93.0,3,1.5,1.5,1.5,49.6,1,4.0,3,45.7,2.0,749.1,5.0,545.95,449.52,481.19,72.9
SAREGAMA,20.0,7.0,8,2.0,3.0,3,14.9,2,0.2,0,2.0,14.6,7.0,2,63.8,3,bullish,3,57.6,8,1.0,33.9,1.0,28.4,0,2.0,3,129.0,0.0,-55.3,3.0,394.3,343.06,393.47,63.8
