symbol,name,sector,risk_score,volatility_risk_score,concentration_risk_score,liquidity_risk_score,beta_score,beta,volatility_score,annual_volatility_pct,drawdown_score,max_drawdown_pct,volatility_risk_total,institutional_score,institutional_holding_pct,promoter_score,promoter_holding_pct,float_score,float_pct,concentration_risk_total,volume_score,avg_volume,mcap_score,market_cap_cr,liquidity_risk_total,risk_flags
RECLTD,REC Limited,Financial Services,17.0,7.0,5.0,5.0,2,0.41,2.5,26.2,2.5,24.5,7.0,2.0,21.8,2.0,52.6,1.0,46.0,5.0,3.0,7152887,2.0,88016.0,5.0,NONE
MARICO,Marico Limited,Consumer Defensive,17.0,7.0,5.0,5.0,1,0.17,3.0,17.7,3.0,10.5,7.0,2.0,24.0,2.0,59.2,1.0,42.2,5.0,3.0,1858620,2.0,107740.0,5.0,NONE
MARICO,Marico Limited,Consumer Defensive,17.0,7.0,5.0,5.0,1,0.17,3.0,17.7,3.0,10.5,7.0,2.0,24.0,2.0,59.2,1.0,42.2,5.0,3.0,1858620,2.0,107740.0,5.0,NONE
BRITANNIA,Britannia Industries Limited,Consumer Defensive,17.0,8.0,5.0,4.0,2,0.54,3.0,20.2,3.0,15.3,8.0,2.0,25.6,2.0,50.5,1.0,48.8,5.0,2.0,350416,2.0,130466.0,4.0,NONE
TATACONSUM,Tata Consumer Products Limited,Consumer Defensive,17.0,8.0,4.0,5.0,2,0.41,3.0,21.7,3.0,16.3,8.0,2.0,34.1,1.0,34.4,1.0,64.5,4.0,3.0,1334325,2.0,119826.0,5.0,NONE
NESTLEIND,Nestlé India Limited,Consumer Defensive,17.0,8.0,4.0,5.0,2,0.49,3.0,20.5,3.0,12.0,8.0,1.5,17.1,2.0,62.9,0.5,36.4,4.0,3.0,1458032,2.0,276019.0,5.0,NONE
RELIANCE,Reliance Industries Limited,Energy,17.0,7.0,5.0,5.0,1,0.24,3.0,19.8,3.0,18.1,7.0,2.0,27.9,2.0,51.2,1.0,48.8,5.0,3.0,12628593,2.0,1789940.0,5.0,NONE
COALINDIA,Coal India Limited,Energy,17.0,7.0,5.0,5.0,1,0.0,3.0,21.6,3.0,10.3,7.0,2.0,25.1,2.0,63.1,1.0,41.2,5.0,3.0,7835423,2.0,281606.0,5.0,NONE
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,17.0,7.0,5.0,5.0,1,0.1,3.0,19.8,3.0,13.2,7.0,2.0,29.8,2.0,55.6,1.0,44.5,5.0,3.0,2682987,2.0,451627.0,5.0,NONE
COALINDIA,Coal India Limited,Energy,17.0,7.0,5.0,5.0,1,0.0,3.0,21.6,3.0,10.3,7.0,2.0,25.1,2.0,63.1,1.0,41.2,5.0,3.0,7835423,2.0,281606.0,5.0,NONE
BANKINDIA,Bank of India Limited,Financial Services,17.0,9.0,3.0,5.0,4,0.82,2.5,31.2,2.5,22.7,9.0,1.5,14.2,1.5,73.4,0.0,18.2,3.0,3.0,10007123,2.0,63118.0,5.0,NONE
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,17.0,7.5,4.5,5.0,2,0.5,2.5,27.3,3.0,17.0,7.5,2.0,20.5,2.0,68.1,0.5,37.9,4.5,3.0,2372827,2.0,406142.0,5.0,NONE
GRAPHITE,Graphite India Limited,Industrials,17.0,8.5,4.0,4.5,4,0.91,2.0,39.1,2.5,22.8,8.5,1.5,12.1,2.0,66.0,0.5,33.8,4.0,3.0,1486625,1.5,14614.0,4.5,NONE
BAJFINANCE,Bajaj Finance Limited,Financial Services,17.0,7.0,5.0,5.0,2,0.41,2.5,28.7,2.5,26.7,7.0,2.0,24.6,2.0,56.3,1.0,42.5,5.0,3.0,8014202,2.0,574252.0,5.0,NONE
NTPC,NTPC Limited,Utilities,17.0,7.0,5.0,5.0,1,0.32,3.0,17.9,3.0,7.9,7.0,2.0,38.7,2.0,53.3,1.0,44.8,5.0,3.0,10794984,2.0,377588.0,5.0,NONE
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,17.0,7.5,4.5,5.0,2,0.4,3.0,20.2,2.5,23.2,7.5,1.5,19.5,2.0,62.3,1.0,43.4,4.5,3.0,1669702,2.0,524640.0,5.0,NONE
AARTIIND,Aarti Industries Limited,Basic Materials,17.0,8.0,4.5,4.5,3,0.66,2.5,33.8,2.5,29.6,8.0,2.0,22.3,1.5,42.5,1.0,56.5,4.5,3.0,1125779,1.5,17037.0,4.5,NONE
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,17.0,7.0,5.0,5.0,1,0.1,3.0,19.8,3.0,13.2,7.0,2.0,29.8,2.0,55.6,1.0,44.5,5.0,3.0,2682987,2.0,451627.0,5.0,NONE
MANAPPURAM,Manappuram Finance Limited,Financial Services,16.5,8.0,4.0,4.5,3,0.69,2.5,32.2,2.5,21.4,8.0,2.0,32.7,1.0,32.9,1.0,52.4,4.0,3.0,4907539,1.5,29617.0,4.5,NONE
