symbol,name,sector,market_cap_cr,avg_volume,current_price
RELIANCE,Reliance Industries Limited,Energy,1789939.99,19155701,1322.7
HDFCBANK,HDFC Bank Limited,Financial Services,1173824.42,34768912,762.45
BHARTIARTL,Bharti Airtel Limited,Communication Services,1165603.16,9658885,1913.5
ICICIBANK,ICICI Bank Limited,Financial Services,889488.67,17867877,1240.8
SBIN,State Bank of India,Financial Services,875800.98,18421117,948.8
TCS,Tata Consultancy Services Limited,Technology,841965.16,4023619,2327.1
BAJFINANCE,Bajaj Finance Limited,Financial Services,574251.96,7373630,923.55
LT,Larsen & Toubro Limited,Industrials,539399.5,2585290,3921.0
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,524640.22,1829678,2232.9
LICI,Life Insurance Corporation of India,Financial Services,508213.54,1119005,803.5
INFY,Infosys Limited,Technology,484386.38,13723296,1196.9
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,451626.82,5126732,1882.3
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,451626.82,5126732,1882.3
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,407339.95,440306,12956.0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,406141.9,3441664,1762.8
ITC,ITC Limited,Consumer Defensive,388789.38,16815750,310.3
ITC,ITC Limited,Consumer Defensive,388789.38,16815750,310.3
AXISBANK,Axis Bank Limited,Financial Services,385030.47,6913598,1238.3
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,379905.25,19706418,381.95
NTPC,NTPC Limited,Utilities,377588.18,8714047,389.4
ADANIENT,Adani Enterprises Limited,Energy,373582.31,3052035,2725.0
ONGC,Oil and Natural Gas Corporation Limited,Energy,373005.27,17003291,296.5
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,371311.72,3012490,3092.3
TITAN,Titan Company Limited,Consumer Cyclical,363865.96,1404218,4102.0
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,334412.04,338125,11368.0
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,334412.04,338125,11368.0
HCLTECH,HCL Technologies Limited,Technology,319104.67,5597598,1179.4
BEL,Bharat Electronics Limited,Industrials,309167.1,11482192,422.95
HAL,Hindustan Aeronautics Limited,Industrials,289793.59,1270687,4333.2
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,284996.82,400465,10205.0
COALINDIA,Coal India Limited,Energy,281605.89,10771525,456.95
COALINDIA,Coal India Limited,Energy,281605.89,10771525,456.95
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,279706.99,1119177,1749.8
POWERGRID,Power Grid Corporation of India Limited,Utilities,277716.04,9660398,298.6
DMART,Avenue Supermarts Limited,Consumer Defensive,276256.57,353240,4236.0
NESTLEIND,Nestlé India Limited,Consumer Defensive,276018.91,2667399,1431.4
HINDZINC,Hindustan Zinc Limited,Basic Materials,267293.66,7299736,632.6
TATASTEEL,Tata Steel Limited,Basic Materials,261023.31,27411246,209.29
ASIANPAINT,Asian Paints Limited,Basic Materials,249314.62,1035847,2600.7
HINDALCO,Hindalco Industries Limited,Basic Materials,234415.93,4284351,1048.3
WIPRO,Wipro Limited,Technology,204637.86,19121688,195.17
GRASIM,Grasim Industries Limited,Basic Materials,199057.28,880852,2935.2
GRASIM,Grasim Industries Limited,Basic Materials,199057.28,880852,2935.2
SBILIFE,SBI Life Insurance Company Limited,Financial Services,188736.69,1738273,1881.4
SBILIFE,SBI Life Insurance Company Limited,Financial Services,188736.69,1738273,1881.4
DIVISLAB,Divi's Laboratories Limited,Healthcare,183491.87,300340,6912.0
VBL,Varun Beverages Limited,Consumer Defensive,174120.59,7517829,514.8
BSE,BSE Limited,Financial Services,170200.57,3765673,4190.8
