symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pb_ratio,peg_ratio,roe,revenue_growth,earnings_growth,profit_margin,debt_to_equity,pe_score,pe_discount_pct,pb_score,peg_score,ev_ebitda_score,valuation_total,revenue_score,earnings_score,growth_total,roe_score,margin_score,roce_score,quality_total,de_score,current_ratio_score,fcf_score,health_total
OBEROIRLTY,Oberoi Realty Limited,Real Estate,17.0,3.0,10,3.0,1.0,23.510654,3.5229468,,0.14913,0.521,0.624,0.41727,15.765,3,22.1,0.0,0.0,0,3.0,5,5,10,1.0,2.0,0,3.0,0.0,1,0.0,1.0
OBEROIRLTY,Oberoi Realty Limited,Real Estate,17.0,3.0,10,3.0,1.0,23.510654,3.5229468,,0.14913,0.521,0.624,0.41727,15.765,3,22.1,0.0,0.0,0,3.0,5,5,10,1.0,2.0,0,3.0,0.0,1,0.0,1.0
BSOFT,Birlasoft Limited,Technology,16.5,7.0,5,2.0,2.5,17.4946,2.4432178,,0.13656999,0.024,0.437,0.09762,3.422,4,40.4,1.0,0.0,2,7.0,1,4,5,1.0,1.0,0,2.0,0.0,1,1.5,2.5
NATIONALUM,National Aluminium Company Limited,Basic Materials,16.5,6.0,1,5.0,4.5,11.930324,3.3916821,,0.2942,0.01,-0.167,0.3132,0.277,4,48.4,0.0,0.0,2,6.0,1,0,1,2.0,2.0,1,5.0,2.0,1,1.5,4.5
CENTRALBK,Central Bank of India,Financial Services,16.0,6.0,5,3.0,2.0,6.808,0.7937322,,0.11914,0.448,-0.354,0.24420999,,4,65.3,2.0,0.0,0,6.0,5,0,5,1.0,2.0,0,3.0,2.0,0,0.0,2.0
BAJAJCON,Bajaj Consumer Care Limited,Consumer Defensive,16.0,2.0,9,3.5,1.5,37.69339,9.505232,,0.25309,0.304,1.13,0.16329001,2.092,2,13.6,0.0,0.0,0,2.0,4,5,9,2.0,1.5,0,3.5,0.0,1,0.5,1.5
ROUTE,Route Mobile Limited,Communication Services,16.0,7.0,5,1.0,3.0,13.555614,1.1700416,,0.09722,-0.038,0.932,0.05422,1.488,4,38.8,1.0,0.0,2,7.0,0,5,5,0.0,1.0,0,1.0,0.0,1,2.0,3.0
CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,16.0,4.0,5,3.5,3.5,23.639526,5.022139,,0.19939,0.19,0.193,0.29318002,0.127,4,44.0,0.0,0.0,0,4.0,3,2,5,1.5,2.0,0,3.5,2.0,1,0.5,3.5
ICICIBANK,ICICI Bank Limited,Financial Services,16.0,4.5,6,3.5,2.0,16.583801,2.447405,0.53,0.16359,0.669,0.084,0.24929,,2,15.5,1.0,1.5,0,4.5,5,1,6,1.5,2.0,0,3.5,2.0,0,0.0,2.0
KRBL,KRBL Limited,Consumer Defensive,15.5,8.0,2,2.5,3.0,11.624259,1.3922228,1.12,0.11731,0.063,0.007,0.105059996,2.924,4,73.3,1.0,1.0,2,8.0,1,1,2,1.0,1.5,0,2.5,0.0,1,2.0,3.0
TNPL,Tamil Nadu Newsprint and Papers Limited,Basic Materials,15.5,8.0,5,2.0,0.5,4.1706705,0.44619828,,0.11254,-0.045,9.848,0.053340003,69.638,4,82.0,2.0,0.0,2,8.0,0,5,5,1.0,1.0,0,2.0,0.0,0,0.5,0.5
SUNTECK,Sunteck Realty Limited,Real Estate,15.5,5.0,8,1.5,1.0,20.7066,1.2688916,,0.052270003,0.645,0.262,0.18185,17.311,4,31.4,1.0,0.0,0,5.0,5,3,8,0.0,1.5,0,1.5,0.0,1,0.0,1.0
JMFINANCIL,JM Financial Limited,Financial Services,15.0,5.0,8,2.0,0.0,10.074161,1.2003535,,,0.314,0.5,0.35617,104.102,4,48.6,1.0,0.0,0,5.0,4,4,8,0.0,2.0,0,2.0,0.0,0,0.0,0.0
PNB,Punjab National Bank,Financial Services,15.0,6.0,4,3.0,2.0,6.33125,0.78197366,,0.12985,0.152,0.019,0.31221,,4,67.7,2.0,0.0,0,6.0,3,1,4,1.0,2.0,0,3.0,2.0,0,0.0,2.0
SUZLON,Suzlon Energy Limited,Industrials,15.0,6.0,7,2.0,0.0,22.419493,9.261334,0.35,,0.424,0.143,0.21564,5.051,4,49.2,0.0,2.0,0,6.0,5,2,7,0.0,2.0,0,2.0,0.0,0,0.0,0.0
SOUTHBANK,The South Indian Bank Limited,Financial Services,15.0,6.0,4,3.0,2.0,7.0018015,0.92323774,,0.13526,0.112,0.183,0.28946,,4,64.3,2.0,0.0,0,6.0,2,2,4,1.0,2.0,0,3.0,2.0,0,0.0,2.0
BANKINDIA,Bank of India Limited,Financial Services,15.0,6.0,4,3.0,2.0,6.123675,0.70187515,,0.12056,0.101,0.186,0.31886,,4,68.8,2.0,0.0,0,6.0,2,2,4,1.0,2.0,0,3.0,2.0,0,0.0,2.0
DCBBANK,DCB Bank Limited,Financial Services,15.0,6.0,4,3.0,2.0,7.68142,0.8632551,,0.11968,0.124,0.134,0.24443,,4,60.8,2.0,0.0,0,6.0,2,2,4,1.0,2.0,0,3.0,2.0,0,0.0,2.0
DBCORP,D. B. Corp Limited,Communication Services,15.0,7.0,3,2.5,2.5,11.05102,1.5097288,,0.14269,0.047,0.191,0.14095001,10.796,4,50.1,1.0,0.0,2,7.0,1,2,3,1.0,1.5,0,2.5,0.0,1,1.5,2.5
CUB,City Union Bank Limited,Financial Services,15.0,4.0,6,3.0,2.0,13.950001,1.874636,,0.13241,0.236,0.251,0.37617,,3,28.9,1.0,0.0,0,4.0,3,3,6,1.0,2.0,0,3.0,2.0,0,0.0,2.0
CANBK,Canara Bank,Financial Services,14.5,6.0,3,3.5,2.0,5.265025,0.9727041,,0.1757,0.209,-0.098,0.32017,,4,73.2,2.0,0.0,0,6.0,3,0,3,1.5,2.0,0,3.5,2.0,0,0.0,2.0
THYROCARE,Thyrocare Technologies Limited,Healthcare,14.5,0.0,8,4.5,2.0,45.940544,14.026604,,0.28746,0.197,1.164,0.19667,8.65,0,-8.8,0.0,0.0,0,0.0,3,5,8,2.0,1.5,1,4.5,0.0,1,1.0,2.0
OFSS,Oracle Financial Services Software Limited,Technology,14.5,0.0,6,5.0,3.5,31.939339,10.725584,,0.32606,0.203,0.306,0.34401,0.415,0,-8.9,0.0,0.0,0,0.0,3,3,6,2.0,2.0,1,5.0,1.5,1,1.0,3.5
OFSS,Oracle Financial Services Software Limited,Technology,14.5,0.0,6,5.0,3.5,31.939339,10.725584,,0.32606,0.203,0.306,0.34401,0.415,0,-8.9,0.0,0.0,0,0.0,3,3,6,2.0,2.0,1,5.0,1.5,1,1.0,3.5
THANGAMAYL,Thangamayil Jewellery Limited,Consumer Cyclical,14.5,1.0,10,2.0,1.5,31.34901,9.729562,,0.27927,1.056,3.508,0.041300002,64.492,1,3.2,0.0,0.0,0,1.0,5,5,10,2.0,0.0,0,2.0,0.0,1,0.5,1.5
ORIENTCEM,Orient Cement Limited,Basic Materials,14.5,7.5,3,3.0,1.0,8.159975,1.3359424,,0.17082001,-0.216,0.317,0.120900005,3.377,4,64.7,1.5,0.0,2,7.5,0,3,3,1.5,1.5,0,3.0,0.0,1,0.0,1.0
