symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pb_ratio,peg_ratio,roe,revenue_growth,earnings_growth,profit_margin,debt_to_equity,pe_score,pe_discount_pct,pb_score,peg_score,ev_ebitda_score,valuation_total,revenue_score,earnings_score,growth_total,roe_score,margin_score,roce_score,quality_total,de_score,current_ratio_score,fcf_score,health_total
KELLTONTEC,Kellton Tech Solutions Limited,Technology,12.0,7.0,4,1.0,0.0,8.763005,1.1838201,,,0.104,0.106,0.076799996,21.666,4,70.1,1.0,0.0,2,7.0,2,2,4,0.0,1.0,0,1.0,0.0,0,0.0,0.0
PERSISTENT,Persistent Systems Limited,Technology,12.0,0.0,7,3.5,1.5,42.695934,10.112556,3.35,0.26349002,0.251,0.321,0.12646,6.092,0,-45.5,0.0,0.0,0,0.0,4,3,7,2.0,1.5,0,3.5,0.0,1,0.5,1.5
LICHSGFIN,LIC Housing Finance Limited,Financial Services,12.0,6.0,2,3.0,1.0,5.33137,0.7754451,,0.14409,0.044,0.086,0.65779,642.522,4,72.8,2.0,0.0,0,6.0,1,1,2,1.0,2.0,0,3.0,0.0,1,0.0,1.0
PATELENG,Patel Engineering Limited,Industrials,12.0,9.0,0,1.0,2.0,9.010527,0.5676016,1.26,0.0655,-0.097,-0.023,0.051090002,27.377,4,79.6,2.0,1.0,2,9.0,0,0,0,0.0,1.0,0,1.0,0.0,0,2.0,2.0
ASTERDM,Aster DM Healthcare Limited,Healthcare,12.0,0.0,8,2.0,2.0,116.65109,8.53214,,0.10067,0.182,0.715,0.08359,45.921,0,-176.2,0.0,0.0,0,0.0,3,5,8,1.0,1.0,0,2.0,0.0,1,1.0,2.0
GODREJAGRO,Godrej Agrovet Limited,Consumer Defensive,12.0,4.0,5,1.5,1.5,23.279789,5.419594,,0.18681,0.083,0.482,0.04634,72.751,4,46.6,0.0,0.0,0,4.0,1,4,5,1.5,0.0,0,1.5,0.0,0,1.5,1.5
PERSISTENT,Persistent Systems Limited,Technology,12.0,0.0,7,3.5,1.5,42.695934,10.112556,3.35,0.26349002,0.251,0.321,0.12646,6.092,0,-45.5,0.0,0.0,0,0.0,4,3,7,2.0,1.5,0,3.5,0.0,1,0.5,1.5
SONATSOFTW,Sonata Software Limited,Technology,12.0,5.0,4,2.0,1.0,15.884639,3.8650608,,0.25724,0.009,0.218,0.04298,37.962,4,45.9,0.0,0.0,1,5.0,1,3,4,2.0,0.0,0,2.0,0.0,0,1.0,1.0
NHPC,NHPC Limited,Utilities,12.0,2.0,8,2.0,0.0,28.541515,1.9197707,,0.09021,0.192,0.706,0.32421002,113.111,1,3.9,1.0,0.0,0,2.0,3,5,8,0.0,2.0,0,2.0,0.0,0,0.0,0.0
PETRONET,Petronet LNG Limited,Energy,12.0,4.5,3,2.5,2.0,10.162897,1.883395,,0.18559,-0.233,0.253,0.089949995,10.507,1,9.6,1.5,0.0,2,4.5,0,3,3,1.5,1.0,0,2.5,0.0,1,1.0,2.0
PSPPROJECT,PSP Projects Limited,Industrials,12.0,1.0,10,1.0,0.0,74.27124,2.4412415,,,0.657,2.211,0.0863,26.131,0,-68.3,1.0,0.0,0,1.0,5,5,10,0.0,1.0,0,1.0,0.0,0,0.0,0.0
DBL,Dilip Buildcon Limited,Industrials,12.0,8.0,0,3.0,1.0,5.0993147,0.84174764,,0.22893,-0.238,-0.722,0.1371,115.513,4,88.4,2.0,0.0,2,8.0,0,0,0,1.5,1.5,0,3.0,0.0,1,0.0,1.0
LICI,Life Insurance Corporation of India,Financial Services,12.0,6.0,3,1.0,2.0,9.587162,4.172899,,,0.161,,0.05973,,4,51.1,0.0,0.0,2,6.0,3,0,3,0.0,1.0,0,1.0,2.0,0,0.0,2.0
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Basic Materials,12.0,8.0,1,1.0,2.0,9.688978,0.90525806,,,0.051,-0.08,0.08185001,0.15,4,58.1,2.0,0.0,2,8.0,1,0,1,0.0,1.0,0,1.0,2.0,0,0.0,2.0
PFC,Power Finance Corporation Limited,Financial Services,12.0,5.5,2,3.5,1.0,5.4994903,1.0719599,,0.20466,-0.154,0.108,0.54304004,586.017,4,72.0,1.5,0.0,0,5.5,0,2,2,1.5,2.0,0,3.5,0.0,1,0.0,1.0
MAHLIFE,Mahindra Lifespace Developers Limited,Real Estate,12.0,4.0,5,3.0,0.0,22.657534,1.9458365,,0.10797,71.47,-0.195,0.25301,18.26,3,24.9,1.0,0.0,0,4.0,5,0,5,1.0,2.0,0,3.0,0.0,0,0.0,0.0
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,12.0,3.5,4,2.0,2.5,27.72701,3.8013453,0.77,0.14434,0.282,-0.064,0.08008,0.096,2,14.4,0.0,1.5,0,3.5,4,0,4,1.0,1.0,0,2.0,2.0,0,0.5,2.5
FSL,Firstsource Solutions Limited,Technology,12.0,2.0,6,2.5,1.5,24.450506,3.828246,,0.159,0.195,0.279,0.07057,66.635,2,16.7,0.0,0.0,0,2.0,3,3,6,1.5,1.0,0,2.5,0.0,0,1.5,1.5
PHOENIXLTD,The Phoenix Mills Limited,Real Estate,12.0,0.0,8,3.0,1.0,49.180237,5.70654,,0.11056,0.337,0.5,0.27671,37.211,0,-63.0,0.0,0.0,0,0.0,4,4,8,1.0,2.0,0,3.0,0.0,0,1.0,1.0
CSBBANK,CSB Bank Limited,Financial Services,12.0,5.0,2,3.0,2.0,9.753425,1.2618341,,0.13483,0.079,0.058,0.2378,,4,50.3,1.0,0.0,0,5.0,1,1,2,1.0,2.0,0,3.0,2.0,0,0.0,2.0
ACC,ACC Limited,Basic Materials,12.0,6.0,3,2.0,1.0,11.973047,1.2418338,2.33,0.109280005,0.178,-0.683,0.082320005,2.085,4,48.2,1.0,0.0,1,6.0,3,0,3,1.0,1.0,0,2.0,0.0,1,0.0,1.0
TITAN,Titan Company Limited,Consumer Cyclical,12.0,0.0,9,3.0,0.0,71.81373,28.411728,,0.37127998,0.805,0.351,0.057919998,195.001,0,-121.8,0.0,0.0,0,0.0,5,4,9,2.0,1.0,0,3.0,0.0,0,0.0,0.0
PHOENIXLTD,The Phoenix Mills Limited,Real Estate,12.0,0.0,8,3.0,1.0,49.180237,5.70654,,0.11056,0.337,0.5,0.27671,37.211,0,-63.0,0.0,0.0,0,0.0,4,4,8,1.0,2.0,0,3.0,0.0,0,1.0,1.0
SOBHA,Sobha Limited,Real Estate,12.0,0.0,10,0.0,2.0,104.18919,3.1434462,,0.04168,0.602,1.243,0.03726,21.83,0,-245.3,0.0,0.0,0,0.0,5,5,10,0.0,0.0,0,0.0,0.0,0,2.0,2.0
TIMETECHNO,Time Technoplast Limited,Consumer Cyclical,12.0,6.0,5,1.0,0.0,17.594456,2.5556252,,,0.128,0.239,0.07563,21.955,4,45.7,1.0,0.0,1,6.0,2,3,5,0.0,1.0,0,1.0,0.0,0,0.0,0.0
AXISBANK,Axis Bank Limited,Financial Services,11.5,5.5,1,3.0,2.0,14.668326,1.789146,0.54,0.13152,-0.112,0.064,0.35406,,3,25.2,1.0,1.5,0,5.5,0,1,1,1.0,2.0,0,3.0,2.0,0,0.0,2.0
IEX,Indian Energy Exchange Limited,Financial Services,11.5,0.0,3,5.0,3.5,22.609009,8.229816,,0.39419997,0.125,0.098,0.65990996,0.818,0,-15.3,0.0,0.0,0,0.0,2,1,3,2.0,2.0,1,5.0,1.0,1,1.5,3.5
TATASTEEL,Tata Steel Limited,Basic Materials,11.5,2.0,7,1.0,1.5,28.513622,2.745831,,0.11156999,0.125,1.254,0.0465,89.016,0,-23.3,1.0,0.0,1,2.0,2,5,7,1.0,0.0,0,1.0,0.0,0,1.5,1.5
VESUVIUS,Vesuvius India Limited,Industrials,11.5,2.0,4,3.0,2.5,37.25039,5.8306775,,0.17066,0.083,0.339,0.12549,0.826,2,15.6,0.0,0.0,0,2.0,1,3,4,1.5,1.5,0,3.0,1.0,1,0.5,2.5
UNIONBANK,Union Bank of India,Financial Services,11.5,6.0,0,3.5,2.0,6.2459726,0.926022,,0.15708,,,0.35658002,,4,68.2,2.0,0.0,0,6.0,0,0,0,1.5,2.0,0,3.5,2.0,0,0.0,2.0
BAJFINANCE,Bajaj Finance Limited,Financial Services,11.5,0.0,7,3.5,1.0,30.290258,5.0364833,,0.17907,0.268,0.214,0.43383998,313.407,0,-54.4,0.0,0.0,0,0.0,4,3,7,1.5,2.0,0,3.5,0.0,1,0.0,1.0
INDIANHUME,The Indian Hume Pipe Company Limited,Industrials,11.5,7.0,0,1.5,3.0,2.5906646,1.1414306,,0.09864,-0.076,-0.954,0.104499996,28.091,4,94.1,1.0,0.0,2,7.0,0,0,0,0.0,1.5,0,1.5,0.0,1,2.0,3.0
UNIONBANK,Union Bank of India,Financial Services,11.5,6.0,0,3.5,2.0,6.2459726,0.926022,,0.15708,,,0.35658002,,4,68.2,2.0,0.0,0,6.0,0,0,0,1.5,2.0,0,3.5,2.0,0,0.0,2.0
IDBI,IDBI Bank Limited,Financial Services,11.5,6.5,0,3.0,2.0,8.513888,1.1515341,0.51,0.14152999,,,0.43376,,4,56.6,1.0,1.5,0,6.5,0,0,0,1.0,2.0,0,3.0,2.0,0,0.0,2.0
SAREGAMA,Saregama India Limited,Communication Services,11.5,0.0,6,3.0,2.5,36.679104,4.5436163,,0.12567,0.232,0.241,0.20165001,4.281,0,-65.6,0.0,0.0,0,0.0,3,3,6,1.0,2.0,0,3.0,0.0,1,1.5,2.5
HAL,Hindustan Aeronautics Limited,Industrials,11.5,3.0,2,3.5,3.0,31.796303,7.8072443,,0.23979001,0.018,0.055,0.27549,0.027,3,28.0,0.0,0.0,0,3.0,1,1,2,1.5,2.0,0,3.5,2.0,1,0.0,3.0
INDIAGLYCO,India Glycols Limited,Basic Materials,11.0,2.0,8,1.0,0.0,21.75305,2.5833066,,0.112849995,1.735,0.319,0.029779999,57.645,1,6.0,1.0,0.0,0,2.0,5,3,8,1.0,0.0,0,1.0,0.0,0,0.0,0.0
SUPREMEIND,The Supreme Industries Limited,Industrials,11.0,0.0,7,2.5,1.5,45.956795,7.096701,,0.16128999,0.165,0.475,0.085039996,1.473,0,-4.1,0.0,0.0,0,0.0,3,4,7,1.5,1.0,0,2.5,0.0,1,0.5,1.5
REDINGTON,Redington Limited,Technology,11.0,6.0,4,1.0,0.0,11.613649,1.7042322,,0.13089,0.251,-0.413,0.012510001,27.26,4,60.4,1.0,0.0,1,6.0,4,0,4,1.0,0.0,0,1.0,0.0,0,0.0,0.0
PRESTIGE,Prestige Estates Projects Limited,Real Estate,11.0,0.0,10,1.0,0.0,61.422836,3.7477005,,0.06322,1.341,11.61,0.095699996,89.294,0,-103.6,0.0,0.0,0,0.0,5,5,10,0.0,1.0,0,1.0,0.0,0,0.0,0.0
AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,11.0,4.0,4,1.5,1.5,22.419954,5.736399,,,0.013,0.21,0.10572,0.441,4,48.6,0.0,0.0,0,4.0,1,3,4,0.0,1.5,0,1.5,1.5,0,0.0,1.5
FINPIPE,Finolex Industries Limited,Industrials,11.0,5.0,3,1.5,1.5,20.285362,1.7229959,,,-0.103,0.237,0.1265,0.359,4,54.0,1.0,0.0,0,5.0,0,3,3,0.0,1.5,0,1.5,1.5,0,0.0,1.5
AJANTPHARM,Ajanta Pharma Limited,Healthcare,11.0,1.0,5,3.5,1.5,38.426594,8.9629,,0.25393,0.215,0.186,0.19365999,5.747,1,9.0,0.0,0.0,0,1.0,3,2,5,2.0,1.5,0,3.5,0.0,1,0.5,1.5
MTARTECH,MTAR Technologies Limited,Industrials,11.0,0.0,10,1.0,0.0,222.69456,28.154922,,,0.593,1.173,0.084259994,25.061,0,-404.5,0.0,0.0,0,0.0,5,5,10,0.0,1.0,0,1.0,0.0,0,0.0,0.0
VAIBHAVGBL,Vaibhav Global Limited,Consumer Cyclical,11.0,5.0,5,1.0,0.0,17.717743,2.534259,,,0.091,0.404,0.05797,15.726,4,45.3,1.0,0.0,0,5.0,1,4,5,0.0,1.0,0,1.0,0.0,0,0.0,0.0
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Basic Materials,11.0,6.0,4,1.0,0.0,15.858895,2.0241964,,,0.146,0.132,0.075440004,26.764,4,31.4,1.0,0.0,1,6.0,2,2,4,0.0,1.0,0,1.0,0.0,0,0.0,0.0
SFL,Sheela Foam Limited,Consumer Cyclical,11.0,1.0,9,0.0,1.0,71.84178,2.071608,,0.05061,0.258,3.212,0.04119,27.85,0,-121.9,1.0,0.0,0,1.0,4,5,9,0.0,0.0,0,0.0,0.0,0,1.0,1.0
GUJGASLTD,Gujarat Gas Limited,Utilities,11.0,4.0,6,1.0,0.0,22.294256,2.968841,,,0.211,0.326,0.07541,118.64,3,24.9,1.0,0.0,0,4.0,3,3,6,0.0,1.0,0,1.0,0.0,0,0.0,0.0
NMDC,NMDC Limited,Basic Materials,11.0,6.0,3,2.0,0.0,11.340127,2.411355,,,0.159,-0.065,0.24884,11.21,4,51.0,1.0,0.0,1,6.0,3,0,3,0.0,2.0,0,2.0,0.0,0,0.0,0.0
NMDC,NMDC Limited,Basic Materials,11.0,6.0,3,2.0,0.0,11.340127,2.411355,,,0.159,-0.065,0.24884,11.21,4,51.0,1.0,0.0,1,6.0,3,0,3,0.0,2.0,0,2.0,0.0,0,0.0,0.0
GREAVESCOT,Greaves Cotton Limited,Industrials,11.0,5.0,6,0.0,0.0,37.375,2.8188884,0.14,,0.166,0.225,0.03334,12.328,2,15.3,1.0,2.0,0,5.0,3,3,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0
NESTLEIND,Nestlé India Limited,Consumer Defensive,11.0,0.0,6,4.5,0.5,78.73487,53.52429,,0.76338995,0.238,0.274,0.15112,8.613,0,-80.6,0.0,0.0,0,0.0,3,3,6,2.0,1.5,1,4.5,0.0,0,0.5,0.5
SBC,SBC Exports Limited,Industrials,11.0,0.0,10,1.0,0.0,92.73685,23.651009,,,0.5,2.274,0.07017,281.519,0,-110.1,0.0,0.0,0,0.0,5,5,10,0.0,1.0,0,1.0,0.0,0,0.0,0.0
HDFCBANK,HDFC Bank Limited,Financial Services,10.5,4.5,1,3.0,2.0,17.015175,2.0761514,0.89,0.13818,-0.018,0.075,0.26834,,2,13.3,1.0,1.5,0,4.5,0,1,1,1.0,2.0,0,3.0,2.0,0,0.0,2.0
CYIENT,Cyient Limited,Industrials,10.5,6.0,1,1.0,2.5,23.635065,1.7693876,93.13,0.077659994,0.009,-0.679,0.058870003,6.995,4,46.5,1.0,0.0,1,6.0,1,0,1,0.0,1.0,0,1.0,0.0,1,1.5,2.5
CYIENT,Cyient Limited,Industrials,10.5,6.0,1,1.0,2.5,23.635065,1.7693876,93.13,0.077659994,0.009,-0.679,0.058870003,6.995,4,46.5,1.0,0.0,1,6.0,1,0,1,0.0,1.0,0,1.0,0.0,1,1.5,2.5
MGL,Mahanagar Gas Limited,Utilities,10.5,7.0,2,1.5,0.0,12.36558,1.6756657,,,0.115,-0.091,0.116809994,3.545,4,58.4,1.0,0.0,2,7.0,2,0,2,0.0,1.5,0,1.5,0.0,0,0.0,0.0
INDUSINDBK,IndusInd Bank Limited,Financial Services,10.5,2.5,5,1.0,2.0,78.393166,1.0604814,0.72,0.01362,2.727,,0.05158,,0,-299.6,1.0,1.5,0,2.5,5,0,5,0.0,1.0,0,1.0,2.0,0,0.0,2.0
OIL,Oil India Limited,Energy,10.5,2.0,6,2.5,0.0,12.329811,1.4068274,,0.12743,0.052,0.604,0.19500999,58.741,0,-9.6,1.0,0.0,1,2.0,1,5,6,1.0,1.5,0,2.5,0.0,0,0.0,0.0
POWERGRID,Power Grid Corporation of India Limited,Utilities,10.5,6.0,1,3.5,0.0,14.848334,2.8029401,,0.16492,-0.05,0.096,0.34083,150.993,4,50.0,1.0,0.0,1,6.0,0,1,1,1.5,2.0,0,3.5,0.0,0,0.0,0.0
MARICO,Marico Limited,Consumer Defensive,10.5,1.0,5,3.5,1.0,61.181015,25.401749,1.02,0.41393003,0.221,0.145,0.12945,12.394,0,-40.3,0.0,1.0,0,1.0,3,2,5,2.0,1.5,0,3.5,0.0,0,1.0,1.0
MARICO,Marico Limited,Consumer Defensive,10.5,1.0,5,3.5,1.0,61.181015,25.401749,1.02,0.41393003,0.221,0.145,0.12945,12.394,0,-40.3,0.0,1.0,0,1.0,3,2,5,2.0,1.5,0,3.5,0.0,0,1.0,1.0
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,10.5,4.0,5,1.5,0.0,20.768446,4.051421,,,0.303,0.019,0.18929,34.305,4,50.8,0.0,0.0,0,4.0,4,1,5,0.0,1.5,0,1.5,0.0,0,0.0,0.0
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,10.5,4.0,5,1.5,0.0,20.768446,4.051421,,,0.303,0.019,0.18929,34.305,4,50.8,0.0,0.0,0,4.0,4,1,5,0.0,1.5,0,1.5,0.0,0,0.0,0.0
PIDILITIND,Pidilite Industries Limited,Basic Materials,10.5,0.0,6,3.0,1.5,60.48193,15.512319,,0.23523001,0.141,0.37,0.16771999,3.776,0,-161.5,0.0,0.0,0,0.0,2,4,6,1.5,1.5,0,3.0,0.0,1,0.5,1.5
HAVELLS,Havells India Limited,Industrials,10.5,2.0,5,2.5,1.0,44.910713,8.008332,0.2,0.18969999,0.025,0.396,0.075040005,2.801,0,-1.7,0.0,2.0,0,2.0,1,4,5,1.5,1.0,0,2.5,0.0,1,0.0,1.0
PIDILITIND,Pidilite Industries Limited,Basic Materials,10.5,0.0,6,3.0,1.5,60.48193,15.512319,,0.23523001,0.141,0.37,0.16771999,3.776,0,-161.5,0.0,0.0,0,0.0,2,4,6,1.5,1.5,0,3.0,0.0,1,0.5,1.5
OIL,Oil India Limited,Energy,10.5,2.0,6,2.5,0.0,12.329811,1.4068274,,0.12743,0.052,0.604,0.19500999,58.741,0,-9.6,1.0,0.0,1,2.0,1,5,6,1.0,1.5,0,2.5,0.0,0,0.0,0.0
ZENTEC,Zen Technologies Limited,Industrials,10.0,0.0,7,2.0,1.0,72.4641,7.828724,,,0.168,0.378,0.31508,0.976,0,-64.2,0.0,0.0,0,0.0,3,4,7,0.0,2.0,0,2.0,1.0,0,0.0,1.0
JAMNAAUTO,Jamna Auto Industries Limited,Consumer Cyclical,10.0,3.0,6,1.0,0.0,22.781443,4.240156,,,0.187,0.327,0.080520004,14.586,3,29.6,0.0,0.0,0,3.0,3,3,6,0.0,1.0,0,1.0,0.0,0,0.0,0.0
RAIN,Rain Industries Limited,Basic Materials,10.0,7.0,3,0.0,0.0,16.952276,0.6924849,,,0.2,,0.01704,127.738,3,26.7,2.0,0.0,2,7.0,3,0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0
RAIN,Rain Industries Limited,Basic Materials,10.0,7.0,3,0.0,0.0,16.952276,0.6924849,,,0.2,,0.01704,127.738,3,26.7,2.0,0.0,2,7.0,3,0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0
ZUARI,Zuari Agro Chemicals Limited,Basic Materials,10.0,8.0,0,2.0,0.0,0.93020016,0.35480523,,,-0.786,,0.24334,34.628,4,96.0,2.0,0.0,2,8.0,0,0,0,0.0,2.0,0,2.0,0.0,0,0.0,0.0
UTTAMSUGAR,Uttam Sugar Mills Limited,Consumer Defensive,10.0,7.0,0,1.0,2.0,8.375,1.1761678,,0.11748,-0.167,-0.168,0.04538,81.154,4,80.8,1.0,0.0,2,7.0,0,0,0,1.0,0.0,0,1.0,0.0,0,2.0,2.0
YESBANK,Yes Bank Limited,Financial Services,10.0,1.0,5,2.0,2.0,19.61607,1.394832,,0.07095,0.198,0.118,0.22045,,0,0.0,1.0,0.0,0,1.0,3,2,5,0.0,2.0,0,2.0,2.0,0,0.0,2.0
RECLTD,REC Limited,Financial Services,10.0,5.5,0,3.5,1.0,5.408576,1.0540838,,0.19957,-0.144,-0.219,0.70553,607.463,4,72.4,1.5,0.0,0,5.5,0,0,0,1.5,2.0,0,3.5,0.0,1,0.0,1.0
ASHOKLEY,Ashok Leyland Limited,Industrials,10.0,5.0,4,1.0,0.0,26.840427,7.0481424,,,0.236,0.066,0.06152,327.886,4,39.2,0.0,0.0,1,5.0,3,1,4,0.0,1.0,0,1.0,0.0,0,0.0,0.0
DELTACORP,Delta Corp Limited,Consumer Cyclical,10.0,6.0,0,1.5,2.5,22.025078,0.8414674,,0.0347,-0.117,-0.901,0.12389,2.175,4,32.0,2.0,0.0,0,6.0,0,0,0,0.0,1.5,0,1.5,0.0,1,1.5,2.5
TATACONSUM,Tata Consumer Products Limited,Consumer Defensive,10.0,1.5,6,1.0,1.5,77.47281,5.894666,0.55,0.0694,0.179,0.215,0.076009996,12.159,0,-77.7,0.0,1.5,0,1.5,3,3,6,0.0,1.0,0,1.0,0.0,1,0.5,1.5
RECLTD,REC Limited,Financial Services,10.0,5.5,0,3.5,1.0,5.408576,1.0540838,,0.19957,-0.144,-0.219,0.70553,607.463,4,72.4,1.5,0.0,0,5.5,0,0,0,1.5,2.0,0,3.5,0.0,1,0.0,1.0
JYOTHYLAB,Jyothy Labs Limited,Consumer Defensive,10.0,4.0,1,3.0,2.0,22.755102,5.4098573,,0.18316999,0.042,-0.116,0.11316,3.247,4,47.8,0.0,0.0,0,4.0,1,0,1,1.5,1.5,0,3.0,0.0,1,1.0,2.0
YESBANK,Yes Bank Limited,Financial Services,10.0,1.0,5,2.0,2.0,19.61607,1.394832,,0.07095,0.198,0.118,0.22045,,0,0.0,1.0,0.0,0,1.0,3,2,5,0.0,2.0,0,2.0,2.0,0,0.0,2.0
NRBBEARING,NRB Bearings Limited,Consumer Cyclical,10.0,3.0,2,3.0,2.0,24.504414,3.6363363,,0.15174,0.13,,0.106920004,15.653,3,24.3,0.0,0.0,0,3.0,2,0,2,1.5,1.5,0,3.0,0.0,1,1.0,2.0
EVEREADY,Eveready Industries India Limited,Industrials,10.0,0.0,6,3.5,0.5,57.57685,3.7157626,,0.31646,0.094,12.653,0.117860004,32.396,0,-30.4,0.0,0.0,0,0.0,1,5,6,2.0,1.5,0,3.5,0.0,0,0.5,0.5
HUDCO,Housing and Urban Development Corporation Limited,Financial Services,10.0,5.0,3,2.0,0.0,10.025298,2.2407372,,,0.161,-0.03,0.61524,705.764,4,48.9,1.0,0.0,0,5.0,3,0,3,0.0,2.0,0,2.0,0.0,0,0.0,0.0
MPHASIS,Mphasis Limited,Technology,10.0,2.0,4,3.0,1.0,23.542196,4.162059,2.4,0.18285999,0.144,0.14,0.11729,24.383,2,19.8,0.0,0.0,0,2.0,2,2,4,1.5,1.5,0,3.0,0.0,0,1.0,1.0
BEL,Bharat Electronics Limited,Industrials,10.0,0.0,6,2.0,2.0,51.89571,14.348963,,,0.24,0.207,0.22475,0.273,0,-17.6,0.0,0.0,0,0.0,3,3,6,0.0,2.0,0,2.0,2.0,0,0.0,2.0
MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,9.5,0.0,5,3.5,1.0,25.88835,3.959417,,0.1555,1.523,,0.23452999,164.419,0,-32.0,0.0,0.0,0,0.0,5,0,5,1.5,2.0,0,3.5,0.0,1,0.0,1.0
KEI,KEI Industries Limited,Industrials,9.5,0.0,6,2.0,1.5,52.84808,7.289981,,0.14753,0.187,0.255,0.07818,3.796,0,-19.7,0.0,0.0,0,0.0,3,3,6,1.0,1.0,0,2.0,0.0,1,0.5,1.5
KEI,KEI Industries Limited,Industrials,9.5,0.0,6,2.0,1.5,52.84808,7.289981,,0.14753,0.187,0.255,0.07818,3.796,0,-19.7,0.0,0.0,0,0.0,3,3,6,1.0,1.0,0,2.0,0.0,1,0.5,1.5
TECHM,Tech Mahindra Limited,Technology,9.5,1.0,4,2.5,2.0,27.068264,4.726756,1.86,0.16608,0.126,0.159,0.084680006,7.269,1,7.7,0.0,0.0,0,1.0,2,2,4,1.5,1.0,0,2.5,0.0,1,1.0,2.0
TRENT,Trent Limited,Consumer Cyclical,9.5,0.0,6,3.0,0.5,84.10002,20.713068,,0.27126,0.192,0.258,0.08566,36.034,0,-159.8,0.0,0.0,0,0.0,3,3,6,2.0,1.0,0,3.0,0.0,0,0.5,0.5
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,9.5,0.0,6,2.5,1.0,106.69271,16.195597,,0.19561,0.25,0.305,0.09714,1.444,0,-141.7,0.0,0.0,0,0.0,3,3,6,1.5,1.0,0,2.5,0.0,1,0.0,1.0
KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,9.5,1.0,6,2.5,0.0,42.462917,7.152088,,0.16819,0.215,0.212,0.0739,150.325,1,3.8,0.0,0.0,0,1.0,3,3,6,1.5,1.0,0,2.5,0.0,0,0.0,0.0
TECHM,Tech Mahindra Limited,Technology,9.5,1.0,4,2.5,2.0,27.068264,4.726756,1.86,0.16608,0.126,0.159,0.084680006,7.269,1,7.7,0.0,0.0,0,1.0,2,2,4,1.5,1.0,0,2.5,0.0,1,1.0,2.0
LT,Larsen & Toubro Limited,Industrials,9.5,4.0,2,2.5,1.0,33.584583,4.9353657,1.06,0.16951999,0.117,-0.345,0.05515,97.64,3,23.9,0.0,1.0,0,4.0,2,0,2,1.5,1.0,0,2.5,0.0,0,1.0,1.0
SUPRIYA,Supriya Lifescience Limited,Healthcare,9.5,3.0,3,2.0,1.5,31.450565,5.3918324,,,0.112,0.06,0.25191998,0.484,3,25.5,0.0,0.0,0,3.0,2,1,3,0.0,2.0,0,2.0,1.5,0,0.0,1.5
TRENT,Trent Limited,Consumer Cyclical,9.5,0.0,6,3.0,0.5,84.10002,20.713068,,0.27126,0.192,0.258,0.08566,36.034,0,-159.8,0.0,0.0,0,0.0,3,3,6,2.0,1.0,0,3.0,0.0,0,0.5,0.5
RAILTEL,RailTel Corporation of India Limited,Communication Services,9.5,0.0,7,2.5,0.0,31.818184,4.4667544,,0.16254,0.276,0.253,0.08096,2.817,0,-43.6,0.0,0.0,0,0.0,4,3,7,1.5,1.0,0,2.5,0.0,0,0.0,0.0
PNCINFRA,PNC Infratech Limited,Industrials,9.5,8.0,0,1.5,0.0,6.8819,0.8306799,,,-0.183,-0.057,0.14596,76.537,4,84.4,2.0,0.0,2,8.0,0,0,0,0.0,1.5,0,1.5,0.0,0,0.0,0.0
MARKSANS,Marksans Pharma Limited,Healthcare,9.5,5.0,3,1.5,0.0,27.949686,3.742694,1.12,,0.106,0.082,0.12853,12.238,4,33.8,0.0,1.0,0,5.0,2,1,3,0.0,1.5,0,1.5,0.0,0,0.0,0.0
USHAMART,Usha Martin Limited,Basic Materials,9.5,0.0,5,3.0,1.5,32.794838,4.337253,,0.16228001,0.093,0.458,0.12625,6.922,0,-41.8,0.0,0.0,0,0.0,1,4,5,1.5,1.5,0,3.0,0.0,1,0.5,1.5
SHILPAMED,Shilpa Medicare Limited,Healthcare,9.5,0.0,8,1.5,0.0,42.599648,3.864884,,,0.283,0.452,0.10467,24.328,0,-0.9,0.0,0.0,0,0.0,4,4,8,0.0,1.5,0,1.5,0.0,0,0.0,0.0
HCLTECH,HCL Technologies Limited,Technology,9.5,4.0,1,3.0,1.5,19.227259,4.262746,2.39,0.23357001,0.053,-0.002,0.128,6.935,4,34.5,0.0,0.0,0,4.0,1,0,1,1.5,1.5,0,3.0,0.0,1,0.5,1.5
HINDALCO,Hindalco Industries Limited,Basic Materials,9.0,6.0,2,1.0,0.0,14.511353,1.7255826,,,0.139,-0.451,0.06143,57.571,4,37.3,1.0,0.0,1,6.0,2,0,2,0.0,1.0,0,1.0,0.0,0,0.0,0.0
